File accession,Experiment accession,Assay,Experiment target,File assembly,Biosample term name,File download URL
ENCFF318QRJ,ENCSR000EHH,TF ChIP-seq,NRF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF318QRJ/@@download/ENCFF318QRJ.bigWig
ENCFF937ZPS,ENCSR000EHL,TF ChIP-seq,POLR2A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF937ZPS/@@download/ENCFF937ZPS.bigWig
ENCFF424PDB,ENCSR000EHN,TF ChIP-seq,SMARCB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF424PDB/@@download/ENCFF424PDB.bigWig
ENCFF280PTW,ENCSR000EHO,TF ChIP-seq,SMARCA4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF280PTW/@@download/ENCFF280PTW.bigWig
ENCFF462VCE,ENCSR000EHQ,TF ChIP-seq,POLR3G-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF462VCE/@@download/ENCFF462VCE.bigWig
ENCFF544BIW,ENCSR000EVX,TF ChIP-seq,ZNF274-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF544BIW/@@download/ENCFF544BIW.bigWig
ENCFF101JVS,ENCSR000EVY,TF ChIP-seq,TRIM28-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF101JVS/@@download/ENCFF101JVS.bigWig
ENCFF134HNV,ENCSR000EWD,TF ChIP-seq,SETDB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF134HNV/@@download/ENCFF134HNV.bigWig
ENCFF287XVQ,ENCSR000EWE,TF ChIP-seq,ZNF274-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF287XVQ/@@download/ENCFF287XVQ.bigWig
ENCFF480HTQ,ENCSR000EWF,TF ChIP-seq,YY1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF480HTQ/@@download/ENCFF480HTQ.bigWig
ENCFF582TIG,ENCSR000EWG,TF ChIP-seq,GATA2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF582TIG/@@download/ENCFF582TIG.bigWig
ENCFF844BHF,ENCSR000EWH,TF ChIP-seq,NR2C2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF844BHF/@@download/ENCFF844BHF.bigWig
ENCFF989IND,ENCSR000EWI,TF ChIP-seq,SETDB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF989IND/@@download/ENCFF989IND.bigWig
ENCFF440PPQ,ENCSR000EWJ,TF ChIP-seq,E2F6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF440PPQ/@@download/ENCFF440PPQ.bigWig
ENCFF093QLM,ENCSR000EWL,TF ChIP-seq,E2F4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF093QLM/@@download/ENCFF093QLM.bigWig
ENCFF240CAC,ENCSR000EWM,TF ChIP-seq,GATA1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF240CAC/@@download/ENCFF240CAC.bigWig
ENCFF552HMM,ENCSR000EWN,TF ChIP-seq,ZNF263-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF552HMM/@@download/ENCFF552HMM.bigWig
ENCFF797BUO,ENCSR000FAC,TF ChIP-seq,XRCC4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF797BUO/@@download/ENCFF797BUO.bigWig
ENCFF320RTQ,ENCSR000FAD,TF ChIP-seq,RAD21-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF320RTQ/@@download/ENCFF320RTQ.bigWig
ENCFF510CZS,ENCSR000FAE,TF ChIP-seq,MAX-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF510CZS/@@download/ENCFF510CZS.bigWig
ENCFF133UXU,ENCSR000FAF,TF ChIP-seq,NFE2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF133UXU/@@download/ENCFF133UXU.bigWig
ENCFF892FZN,ENCSR000FAG,TF ChIP-seq,MYC-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF892FZN/@@download/ENCFF892FZN.bigWig
ENCFF764AXM,ENCSR000FAH,TF ChIP-seq,JUN-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF764AXM/@@download/ENCFF764AXM.bigWig
ENCFF378SNN,ENCSR000FAI,TF ChIP-seq,FOS-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF378SNN/@@download/ENCFF378SNN.bigWig
ENCFF444MEV,ENCSR000FAJ,TF ChIP-seq,POLR2A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF444MEV/@@download/ENCFF444MEV.bigWig
ENCFF344TTK,ENCSR000FCB,TF ChIP-seq,MITF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF344TTK/@@download/ENCFF344TTK.bigWig
ENCFF024HES,ENCSR000FCC,TF ChIP-seq,NFE2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF024HES/@@download/ENCFF024HES.bigWig
ENCFF094FAV,ENCSR000FCD,TF ChIP-seq,SMAD5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF094FAV/@@download/ENCFF094FAV.bigWig
ENCFF096HGW,ENCSR000FCE,TF ChIP-seq,ETV6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF096HGW/@@download/ENCFF096HGW.bigWig
ENCFF295DBD,ENCSR002ZGC,TF ChIP-seq,ZNF212-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF295DBD/@@download/ENCFF295DBD.bigWig
ENCFF746DWK,ENCSR003GUC,TF ChIP-seq,E4F1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF746DWK/@@download/ENCFF746DWK.bigWig
ENCFF793MZT,ENCSR004GKA,TF ChIP-seq,ZEB2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF793MZT/@@download/ENCFF793MZT.bigWig
ENCFF196NSS,ENCSR005NMT,TF ChIP-seq,ID3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF196NSS/@@download/ENCFF196NSS.bigWig
ENCFF564MJN,ENCSR008DOU,TF ChIP-seq,SNAPC5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF564MJN/@@download/ENCFF564MJN.bigWig
ENCFF540PNG,ENCSR011NOZ,TF ChIP-seq,ZNF407-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF540PNG/@@download/ENCFF540PNG.bigWig
ENCFF542QIO,ENCSR011PEI,TF ChIP-seq,ZNF175-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF542QIO/@@download/ENCFF542QIO.bigWig
ENCFF940SVZ,ENCSR011WGT,TF ChIP-seq,GABPB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF940SVZ/@@download/ENCFF940SVZ.bigWig
ENCFF835KVD,ENCSR013UDY,TF ChIP-seq,TOE1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF835KVD/@@download/ENCFF835KVD.bigWig
ENCFF592YZS,ENCSR014ARU,TF ChIP-seq,ATF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF592YZS/@@download/ENCFF592YZS.bigWig
ENCFF639KRR,ENCSR014RCS,TF ChIP-seq,HNRNPK-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF639KRR/@@download/ENCFF639KRR.bigWig
ENCFF399EVN,ENCSR015KAM,TF ChIP-seq,DMTF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF399EVN/@@download/ENCFF399EVN.bigWig
ENCFF180FYO,ENCSR017EJY,TF ChIP-seq,DLX4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF180FYO/@@download/ENCFF180FYO.bigWig
ENCFF087UHU,ENCSR017GBO,TF ChIP-seq,TFDP1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF087UHU/@@download/ENCFF087UHU.bigWig
ENCFF391UJJ,ENCSR018MSO,TF ChIP-seq,ZNF148-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF391UJJ/@@download/ENCFF391UJJ.bigWig
ENCFF377ABI,ENCSR023OOE,TF ChIP-seq,ZNF764-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF377ABI/@@download/ENCFF377ABI.bigWig
ENCFF198WIB,ENCSR024CNP,TF ChIP-seq,EGR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF198WIB/@@download/ENCFF198WIB.bigWig
ENCFF975DCO,ENCSR024LKA,TF ChIP-seq,HDAC3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF975DCO/@@download/ENCFF975DCO.bigWig
ENCFF334KTM,ENCSR026KKZ,TF ChIP-seq,ZBTB17-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF334KTM/@@download/ENCFF334KTM.bigWig
ENCFF874TGD,ENCSR026RAK,TF ChIP-seq,MXD1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF874TGD/@@download/ENCFF874TGD.bigWig
ENCFF042VZA,ENCSR028UIU,TF ChIP-seq,ATF3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF042VZA/@@download/ENCFF042VZA.bigWig
ENCFF692IPI,ENCSR028WJI,TF ChIP-seq,TGIF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF692IPI/@@download/ENCFF692IPI.bigWig
ENCFF649OQC,ENCSR030TJP,TF ChIP-seq,DACH1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF649OQC/@@download/ENCFF649OQC.bigWig
ENCFF124WLE,ENCSR031TFS,TF ChIP-seq,POLR2A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF124WLE/@@download/ENCFF124WLE.bigWig
ENCFF034OVA,ENCSR033NQK,TF ChIP-seq,ZNF830-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF034OVA/@@download/ENCFF034OVA.bigWig
ENCFF072RST,ENCSR033VAZ,TF ChIP-seq,TARDBP-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF072RST/@@download/ENCFF072RST.bigWig
ENCFF002MEK,ENCSR034GHQ,TF ChIP-seq,HMG20B-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF002MEK/@@download/ENCFF002MEK.bigWig
ENCFF838PBU,ENCSR036QIR,TF ChIP-seq,E2F3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF838PBU/@@download/ENCFF838PBU.bigWig
ENCFF500DJF,ENCSR038DJJ,TF ChIP-seq,SMAD1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF500DJF/@@download/ENCFF500DJF.bigWig
ENCFF499VUG,ENCSR038RGL,TF ChIP-seq,MCM7-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF499VUG/@@download/ENCFF499VUG.bigWig
ENCFF935WXE,ENCSR041AXL,TF ChIP-seq,RFX1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF935WXE/@@download/ENCFF935WXE.bigWig
ENCFF290AKM,ENCSR041QAZ,TF ChIP-seq,RNF219-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF290AKM/@@download/ENCFF290AKM.bigWig
ENCFF254PNS,ENCSR041YBR,TF ChIP-seq,ZNF12-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF254PNS/@@download/ENCFF254PNS.bigWig
ENCFF575LZV,ENCSR044IXA,TF ChIP-seq,ZNF354B-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF575LZV/@@download/ENCFF575LZV.bigWig
ENCFF248TTI,ENCSR044UJJ,TF ChIP-seq,ATF4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF248TTI/@@download/ENCFF248TTI.bigWig
ENCFF935VKI,ENCSR047LSJ,TF ChIP-seq,TAF15-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF935VKI/@@download/ENCFF935VKI.bigWig
ENCFF414GZH,ENCSR051DXE,TF ChIP-seq,FUS-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF414GZH/@@download/ENCFF414GZH.bigWig
ENCFF845HRN,ENCSR051OUX,TF ChIP-seq,NFATC3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF845HRN/@@download/ENCFF845HRN.bigWig
ENCFF608BOH,ENCSR052PTN,TF ChIP-seq,PCBP1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF608BOH/@@download/ENCFF608BOH.bigWig
ENCFF833DFR,ENCSR054JMQ,TF ChIP-seq,REST-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF833DFR/@@download/ENCFF833DFR.bigWig
ENCFF918FGO,ENCSR056VMR,TF ChIP-seq,FOXJ3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF918FGO/@@download/ENCFF918FGO.bigWig
ENCFF595YIN,ENCSR056VYW,TF ChIP-seq,ZNF174-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF595YIN/@@download/ENCFF595YIN.bigWig
ENCFF907OFL,ENCSR058DRG,TF ChIP-seq,CEBPG-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF907OFL/@@download/ENCFF907OFL.bigWig
ENCFF090HPI,ENCSR059BWP,TF ChIP-seq,PHTF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF090HPI/@@download/ENCFF090HPI.bigWig
ENCFF497IHT,ENCSR065XVO,TF ChIP-seq,CHAMP1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF497IHT/@@download/ENCFF497IHT.bigWig
ENCFF777TMS,ENCSR068QXO,TF ChIP-seq,SMAD4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF777TMS/@@download/ENCFF777TMS.bigWig
ENCFF732FQZ,ENCSR068VRA,TF ChIP-seq,MCM7-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF732FQZ/@@download/ENCFF732FQZ.bigWig
ENCFF215LQF,ENCSR072VUO,TF ChIP-seq,SAFB-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF215LQF/@@download/ENCFF215LQF.bigWig
ENCFF954LGE,ENCSR075HTM,TF ChIP-seq,HDAC2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF954LGE/@@download/ENCFF954LGE.bigWig
ENCFF306PNK,ENCSR076YPO,TF ChIP-seq,RNF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF306PNK/@@download/ENCFF306PNK.bigWig
ENCFF242MQX,ENCSR077DKV,TF ChIP-seq,CREM-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF242MQX/@@download/ENCFF242MQX.bigWig
ENCFF471FIA,ENCSR077TKJ,TF ChIP-seq,ZNF707-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF471FIA/@@download/ENCFF471FIA.bigWig
ENCFF696PBF,ENCSR079WHK,TF ChIP-seq,MCM5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF696PBF/@@download/ENCFF696PBF.bigWig
ENCFF501RAD,ENCSR084WHZ,TF ChIP-seq,FOXP4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF501RAD/@@download/ENCFF501RAD.bigWig
ENCFF864TZK,ENCSR085DDI,TF ChIP-seq,NFXL1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF864TZK/@@download/ENCFF864TZK.bigWig
ENCFF101VAI,ENCSR085QEV,TF ChIP-seq,NBN-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF101VAI/@@download/ENCFF101VAI.bigWig
ENCFF307NOK,ENCSR085XDP,TF ChIP-seq,ATF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF307NOK/@@download/ENCFF307NOK.bigWig
ENCFF622NOI,ENCSR086FZL,TF ChIP-seq,KAT8-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF622NOI/@@download/ENCFF622NOI.bigWig
ENCFF369AZW,ENCSR087TYG,TF ChIP-seq,NR2F6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF369AZW/@@download/ENCFF369AZW.bigWig
ENCFF480JWC,ENCSR090JNM,TF ChIP-seq,HLTF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF480JWC/@@download/ENCFF480JWC.bigWig
ENCFF090IHN,ENCSR091GVJ,TF ChIP-seq,ATF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF090IHN/@@download/ENCFF090IHN.bigWig
ENCFF429UPS,ENCSR091IQZ,TF ChIP-seq,DMBX1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF429UPS/@@download/ENCFF429UPS.bigWig
ENCFF143EEL,ENCSR091JXL,TF ChIP-seq,HES1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF143EEL/@@download/ENCFF143EEL.bigWig
ENCFF132DIX,ENCSR093FKD,TF ChIP-seq,CREB3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF132DIX/@@download/ENCFF132DIX.bigWig
ENCFF651OZY,ENCSR099MNR,TF ChIP-seq,ZNF75A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF651OZY/@@download/ENCFF651OZY.bigWig
ENCFF936KHI,ENCSR099NCH,TF ChIP-seq,ZNF24-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF936KHI/@@download/ENCFF936KHI.bigWig
ENCFF502JLG,ENCSR100UQX,TF ChIP-seq,TAF9B-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF502JLG/@@download/ENCFF502JLG.bigWig
ENCFF868XEZ,ENCSR102KIN,TF ChIP-seq,ZMYM3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF868XEZ/@@download/ENCFF868XEZ.bigWig
ENCFF140EZX,ENCSR103TYK,TF ChIP-seq,HBP1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF140EZX/@@download/ENCFF140EZX.bigWig
ENCFF716BYY,ENCSR106FRG,TF ChIP-seq,TAL1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF716BYY/@@download/ENCFF716BYY.bigWig
ENCFF168DCY,ENCSR107GRP,TF ChIP-seq,MLLT1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF168DCY/@@download/ENCFF168DCY.bigWig
ENCFF311AVX,ENCSR107RHZ,TF ChIP-seq,YBX1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF311AVX/@@download/ENCFF311AVX.bigWig
ENCFF836SJA,ENCSR109SJT,TF ChIP-seq,SMAD4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF836SJA/@@download/ENCFF836SJA.bigWig
ENCFF116CGU,ENCSR109YGM,TF ChIP-seq,CREB3L1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF116CGU/@@download/ENCFF116CGU.bigWig
ENCFF532LKE,ENCSR110JLQ,TF ChIP-seq,ZNF778-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF532LKE/@@download/ENCFF532LKE.bigWig
ENCFF209WQK,ENCSR112RNT,TF ChIP-seq,HNRNPLL-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF209WQK/@@download/ENCFF209WQK.bigWig
ENCFF726LEK,ENCSR113LAS,TF ChIP-seq,MTA2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF726LEK/@@download/ENCFF726LEK.bigWig
ENCFF838IQI,ENCSR115BBC,TF ChIP-seq,ASH1L-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF838IQI/@@download/ENCFF838IQI.bigWig
ENCFF508FGB,ENCSR115HLM,TF ChIP-seq,ZBTB26-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF508FGB/@@download/ENCFF508FGB.bigWig
ENCFF695DLR,ENCSR115SMW,TF ChIP-seq,PKNOX1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF695DLR/@@download/ENCFF695DLR.bigWig
ENCFF427RJX,ENCSR116NDV,TF ChIP-seq,CBFB-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF427RJX/@@download/ENCFF427RJX.bigWig
ENCFF416MDO,ENCSR117WTM,TF ChIP-seq,ZNF24-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF416MDO/@@download/ENCFF416MDO.bigWig
ENCFF404IDC,ENCSR119FAD,TF ChIP-seq,DEAF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF404IDC/@@download/ENCFF404IDC.bigWig
ENCFF207NYO,ENCSR119ULQ,TF ChIP-seq,NCOA4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF207NYO/@@download/ENCFF207NYO.bigWig
ENCFF314SJU,ENCSR119VCX,TF ChIP-seq,PHF21A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF314SJU/@@download/ENCFF314SJU.bigWig
ENCFF905BYK,ENCSR120MPG,TF ChIP-seq,PRDM10-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF905BYK/@@download/ENCFF905BYK.bigWig
ENCFF717QHM,ENCSR121PFY,TF ChIP-seq,CDC5L-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF717QHM/@@download/ENCFF717QHM.bigWig
ENCFF235LAA,ENCSR121SPB,TF ChIP-seq,KLF10-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF235LAA/@@download/ENCFF235LAA.bigWig
ENCFF782KXB,ENCSR124BJR,TF ChIP-seq,ETV6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF782KXB/@@download/ENCFF782KXB.bigWig
ENCFF151GYK,ENCSR124YFA,TF ChIP-seq,ZNF124-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF151GYK/@@download/ENCFF151GYK.bigWig
ENCFF208TJQ,ENCSR125RFR,TF ChIP-seq,ATF6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF208TJQ/@@download/ENCFF208TJQ.bigWig
ENCFF952SIQ,ENCSR125YGM,TF ChIP-seq,ID3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF952SIQ/@@download/ENCFF952SIQ.bigWig
ENCFF275ILT,ENCSR126FZN,TF ChIP-seq,PTRF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF275ILT/@@download/ENCFF275ILT.bigWig
ENCFF145HIL,ENCSR126YJQ,TF ChIP-seq,HMG20A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF145HIL/@@download/ENCFF145HIL.bigWig
ENCFF281BQY,ENCSR128KLX,TF ChIP-seq,NR2F6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF281BQY/@@download/ENCFF281BQY.bigWig
ENCFF705NQJ,ENCSR130HEG,TF ChIP-seq,COPS2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF705NQJ/@@download/ENCFF705NQJ.bigWig
ENCFF669DYX,ENCSR130PDE,TF ChIP-seq,NR4A1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF669DYX/@@download/ENCFF669DYX.bigWig
ENCFF209SWQ,ENCSR133DMU,TF ChIP-seq,RERE-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF209SWQ/@@download/ENCFF209SWQ.bigWig
ENCFF286HLX,ENCSR137ZMQ,TF ChIP-seq,REST-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF286HLX/@@download/ENCFF286HLX.bigWig
ENCFF063UTI,ENCSR138FUZ,TF ChIP-seq,RNF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF063UTI/@@download/ENCFF063UTI.bigWig
ENCFF929XGH,ENCSR138SFL,TF ChIP-seq,MCM2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF929XGH/@@download/ENCFF929XGH.bigWig
ENCFF571MUD,ENCSR138YYY,TF ChIP-seq,GABPB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF571MUD/@@download/ENCFF571MUD.bigWig
ENCFF786SSM,ENCSR140GLO,TF ChIP-seq,SMAD3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF786SSM/@@download/ENCFF786SSM.bigWig
ENCFF897WKS,ENCSR142YYA,TF ChIP-seq,EWSR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF897WKS/@@download/ENCFF897WKS.bigWig
ENCFF555WZA,ENCSR143CEO,TF ChIP-seq,ZC3H8-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF555WZA/@@download/ENCFF555WZA.bigWig
ENCFF891VJC,ENCSR145TSJ,TF ChIP-seq,ATF4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF891VJC/@@download/ENCFF891VJC.bigWig
ENCFF059LOW,ENCSR149ZBI,TF ChIP-seq,ZNF584-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF059LOW/@@download/ENCFF059LOW.bigWig
ENCFF503VPS,ENCSR150QDE,TF ChIP-seq,SREBF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF503VPS/@@download/ENCFF503VPS.bigWig
ENCFF355KIF,ENCSR153DWR,TF ChIP-seq,E2F1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF355KIF/@@download/ENCFF355KIF.bigWig
ENCFF032KSP,ENCSR153HNT,TF ChIP-seq,STAG1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF032KSP/@@download/ENCFF032KSP.bigWig
ENCFF703AHK,ENCSR154EIH,TF ChIP-seq,TRIP13-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF703AHK/@@download/ENCFF703AHK.bigWig
ENCFF466GVY,ENCSR155KHM,TF ChIP-seq,ARNT-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF466GVY/@@download/ENCFF466GVY.bigWig
ENCFF699ZXR,ENCSR157TCS,TF ChIP-seq,SMARCE1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF699ZXR/@@download/ENCFF699ZXR.bigWig
ENCFF211WPG,ENCSR158BGH,TF ChIP-seq,MBD1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF211WPG/@@download/ENCFF211WPG.bigWig
ENCFF779LQX,ENCSR158LJN,TF ChIP-seq,MAX-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF779LQX/@@download/ENCFF779LQX.bigWig
ENCFF403PIA,ENCSR158RYZ,TF ChIP-seq,ZBTB40-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF403PIA/@@download/ENCFF403PIA.bigWig
ENCFF911VQF,ENCSR159OCC,TF ChIP-seq,ATF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF911VQF/@@download/ENCFF911VQF.bigWig
ENCFF759EVQ,ENCSR160QYK,TF ChIP-seq,GATAD2A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF759EVQ/@@download/ENCFF759EVQ.bigWig
ENCFF275EAX,ENCSR162IEM,TF ChIP-seq,MYBL2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF275EAX/@@download/ENCFF275EAX.bigWig
ENCFF454IIJ,ENCSR163IUV,TF ChIP-seq,MAZ-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF454IIJ/@@download/ENCFF454IIJ.bigWig
ENCFF300EJP,ENCSR163VTS,TF ChIP-seq,NFYA-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF300EJP/@@download/ENCFF300EJP.bigWig
ENCFF330STE,ENCSR164RIC,TF ChIP-seq,ZNF444-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF330STE/@@download/ENCFF330STE.bigWig
ENCFF898WBH,ENCSR166BAY,TF ChIP-seq,ZBTB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF898WBH/@@download/ENCFF898WBH.bigWig
ENCFF625IEL,ENCSR167JBG,TF ChIP-seq,DIDO1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF625IEL/@@download/ENCFF625IEL.bigWig
ENCFF364MPH,ENCSR167KBO,TF ChIP-seq,ZNF316-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF364MPH/@@download/ENCFF364MPH.bigWig
ENCFF428DEK,ENCSR168CEE,TF ChIP-seq,NCOA6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF428DEK/@@download/ENCFF428DEK.bigWig
