,Chromosome,Start,gene_name,gene_id,Strand,PC-3
25763,chr10,27155351,MASTL,ENSG00000120539.15,+,26.71875
3807,chr1,89065208,GBP1,ENSG00000117228.11,-,26.71875
19772,chr7,90211859,STEAP2,ENSG00000157214.14,+,26.71875
41385,chr17,42536240,NAGLU,ENSG00000108784.10,+,26.71875
18030,chr6,26027283,H4C2,ENSG00000278705.3,-,26.71875
110,chr1,6579993,ZBTB48,ENSG00000204859.13,+,26.71875
42419,chr17,6640711,KIAA0753,ENSG00000198920.11,-,26.734375
39666,chr16,89923344,TUBB3,ENSG00000258947.8,+,26.734375
165,chr1,10032957,UBE4B,ENSG00000130939.20,+,26.734375
40249,chr16,53503223,AKTIP,ENSG00000166971.17,-,26.734375
49047,chr20,50795060,BCAS4,ENSG00000124243.19,+,26.734375
37581,chr15,34367196,LPCAT4,ENSG00000176454.15,-,26.734375
18105,chr6,30617243,PPP1R10,ENSG00000204569.10,-,26.734375
4876,chr1,209806175,IRF6,ENSG00000117595.13,-,26.734375
6426,chr2,190343569,INPP1,ENSG00000151689.13,+,26.75
18432,chr6,44313347,AARS2,ENSG00000124608.5,-,26.75
5256,chr2,24049740,FKBP1B,ENSG00000119782.14,+,26.75
17791,chr6,157381132,ZDHHC14,ENSG00000175048.17,+,26.75
22925,chr8,37899454,RAB11FIP1,ENSG00000156675.16,-,26.75
5032,chr1,234479179,TARBP1,ENSG00000059588.10,-,26.75
9290,chr3,49021604,NDUFAF3,ENSG00000178057.15,+,26.765625
46596,chr19,55485233,NAT14,ENSG00000090971.5,+,26.765625
18392,chr6,42746103,TBCC,ENSG00000124659.7,-,26.765625
4605,chr1,169485944,SLC19A2,ENSG00000117479.15,-,26.765625
14431,chr5,69415115,MARVELD2,ENSG00000152939.17,+,26.78125
36437,chr14,80941687,CEP128,ENSG00000100629.17,-,26.78125
38783,chr16,19523941,CCP110,ENSG00000103540.17,+,26.78125
36643,chr14,105300992,BRF1,ENSG00000185024.18,-,26.78125
17100,chr6,37257771,TBC1D22B,ENSG00000065491.8,+,26.78125
16523,chr5,180861276,ZFP62,ENSG00000196670.14,-,26.78125
45818,chr19,37317910,ZNF875,ENSG00000181666.19,+,26.78125
16024,chr5,132490777,IRF1,ENSG00000125347.15,-,26.796875
50089,chr21,46098111,COL6A2,ENSG00000142173.17,+,26.8125
53267,chrX,86047539,CHM,ENSG00000188419.14,-,26.8125
46212,chr19,47256524,CCDC9,ENSG00000105321.14,+,26.8125
13499,chr4,83012926,LIN54,ENSG00000189308.11,-,26.8125
46997,chr19,7294414,INSR,ENSG00000171105.14,-,26.828125
20282,chr7,141551394,AGK,ENSG00000006530.18,+,26.828125
20683,chr7,28180795,JAZF1,ENSG00000153814.13,-,26.84375
52779,chrX,15335503,PIGA,ENSG00000165195.16,-,26.84375
10330,chr3,186930525,ST6GAL1,ENSG00000073849.16,+,26.84375
22569,chr8,143684478,ZNF707,ENSG00000181135.16,+,26.84375
39967,chr16,15643108,MARF1,ENSG00000166783.22,-,26.859375
50334,chr21,45542471,SLC19A1,ENSG00000173638.19,-,26.875
14009,chr4,168480487,DDX60L,ENSG00000181381.15,-,26.875
8978,chr3,28348720,ZCWPW2,ENSG00000206559.8,+,26.875
21282,chr7,105876582,ATXN7L1,ENSG00000146776.15,-,26.890625
270,chr1,14924129,KAZN,ENSG00000189337.17,+,26.890625
15743,chr5,74640728,ENC1,ENSG00000171617.16,-,26.890625
19580,chr7,64903272,ZNF273,ENSG00000198039.12,+,26.890625
24138,chr9,111525178,ZNF483,ENSG00000173258.13,+,26.890625
9651,chr3,108589721,DZIP3,ENSG00000198919.13,+,26.890625
24565,chr9,136849408,PHPT1,ENSG00000054148.18,+,26.90625
34225,chr13,73059004,KLF5,ENSG00000102554.14,+,26.90625
42618,chr17,15563536,TVP23C,ENSG00000175106.17,-,26.921875
46601,chr19,55605646,ZNF865,ENSG00000261221.5,+,26.921875
51529,chrX,9465057,TBL1X,ENSG00000101849.18,+,26.921875
17455,chr6,106086335,PRDM1,ENSG00000057657.17,+,26.921875
16222,chr5,145835304,PRELID2,ENSG00000186314.12,-,26.921875
5429,chr2,38778209,GEMIN6,ENSG00000152147.11,+,26.9375
13971,chr4,156971799,PDGFC,ENSG00000145431.11,-,26.9375
198,chr1,11654909,FBXO44,ENSG00000132879.14,+,26.9375
5974,chr2,112584594,CHCHD5,ENSG00000125611.16,+,26.9375
11833,chr3,186567339,TBCCD1,ENSG00000113838.13,-,26.953125
32969,chr12,32755897,YARS2,ENSG00000139131.13,-,26.953125
6630,chr2,216412560,SMARCAL1,ENSG00000138375.14,+,26.953125
31810,chr12,55932057,DGKA,ENSG00000065357.20,+,26.953125
52530,chrX,150568620,MTM1,ENSG00000171100.16,+,26.953125
38120,chr15,78131445,CIB2,ENSG00000136425.14,-,26.96875
33617,chr12,100267079,DEPDC4,ENSG00000166153.17,-,26.96875
25186,chr9,109498307,PTPN3,ENSG00000070159.14,-,26.96875
3367,chr1,35031690,ZMYM6,ENSG00000163867.17,-,26.96875
40158,chr16,30526566,ZNF768,ENSG00000169957.10,-,26.96875
25264,chr9,116687221,ASTN2,ENSG00000148219.18,-,26.96875
43369,chr17,57955412,CUEDC1,ENSG00000180891.13,-,26.96875
17400,chr6,87155580,ZNF292,ENSG00000188994.14,+,26.984375
26295,chr10,96043582,CCNJ,ENSG00000107443.16,+,26.984375
41962,chr17,75516527,TSEN54,ENSG00000182173.14,+,27.0
44454,chr18,26548553,KCTD1,ENSG00000134504.14,-,27.0
46091,chr19,44165100,ZNF226,ENSG00000167380.17,+,27.0
40672,chr17,1724703,WDR81,ENSG00000167716.19,+,27.0
21671,chr8,1763887,KBTBD11-OT1,ENSG00000283239.1,+,27.0
48844,chr20,36573596,TGIF2,ENSG00000118707.11,+,27.015625
10914,chr3,50567665,C3orf18,ENSG00000088543.15,-,27.015625
44319,chr18,74148522,TIMM21,ENSG00000075336.12,+,27.015625
20923,chr7,73738823,ABHD11,ENSG00000106077.19,-,27.015625
25088,chr9,93451562,FAM120AOS,ENSG00000188938.17,-,27.03125
8035,chr2,162074053,DPP4,ENSG00000197635.11,-,27.03125
39335,chr16,67666813,C16orf86,ENSG00000159761.15,+,27.03125
17005,chr6,32968593,BRD2,ENSG00000204256.14,+,27.03125
31871,chr12,56521819,RBMS2,ENSG00000076067.14,+,27.046875
114,chr1,6625191,THAP3,ENSG00000041988.16,+,27.046875
15797,chr5,79991245,MTX3,ENSG00000177034.18,-,27.046875
24831,chr9,34612097,RPP25L,ENSG00000164967.10,-,27.046875
53517,chrX,135022542,RTL8B,ENSG00000212747.5,-,27.046875
5177,chr2,6917411,RNF144A,ENSG00000151692.15,+,27.046875
46217,chr19,47349314,DHX34,ENSG00000134815.19,+,27.0625
38706,chr16,11345458,RMI2,ENSG00000175643.10,+,27.0625
42317,chr17,3636250,SHPK,ENSG00000197417.9,-,27.0625
47826,chr19,43596134,IRGQ,ENSG00000167378.10,-,27.0625
45051,chr19,7595862,CAMSAP3,ENSG00000076826.10,+,27.078125
45566,chr19,29811990,CCNE1,ENSG00000105173.14,+,27.09375
33812,chr12,119877288,CIT,ENSG00000122966.18,-,27.09375
41189,chr17,34255284,CCL2,ENSG00000108691.10,+,27.09375
47293,chr19,15200995,NOTCH3,ENSG00000074181.9,-,27.09375
32431,chr12,121210064,P2RX4,ENSG00000135124.16,+,27.09375
48519,chr20,3209497,ITPA,ENSG00000125877.13,+,27.09375
36807,chr15,40807589,ZFYVE19,ENSG00000166140.17,+,27.109375
45209,chr19,11355497,PLPPR2,ENSG00000105520.11,+,27.109375
32040,chr12,71686495,TMEM19,ENSG00000139291.14,+,27.109375
45576,chr19,32345593,ZNF507,ENSG00000168813.17,+,27.109375
7415,chr2,55923782,EFEMP1,ENSG00000115380.20,-,27.109375
29161,chr11,117199369,TAGLN,ENSG00000149591.17,+,27.109375
7142,chr2,24047361,WDCP,ENSG00000163026.12,-,27.125
3249,chr1,27604144,AHDC1,ENSG00000126705.15,-,27.125
1679,chr1,151540307,TUFT1,ENSG00000143367.17,+,27.125
25790,chr10,32446139,CCDC7,ENSG00000216937.14,+,27.125
21907,chr8,27491165,EPHX2,ENSG00000120915.14,+,27.140625
33355,chr12,57078763,NEMP1,ENSG00000166881.10,-,27.140625
29834,chr11,27472775,LGR4,ENSG00000205213.14,-,27.140625
30830,chr11,112164094,IL18,ENSG00000150782.12,-,27.140625
3663,chr1,56579563,PLPP3,ENSG00000162407.9,-,27.15625
44331,chr18,75210796,TSHZ1,ENSG00000179981.11,+,27.15625
44373,chr18,3013142,LPIN2,ENSG00000101577.11,-,27.15625
20386,chr7,149838374,ZNF862,ENSG00000106479.11,+,27.15625
18144,chr6,31664997,GPANK1,ENSG00000204438.11,-,27.15625
25504,chr9,134068026,BRD3,ENSG00000169925.17,-,27.171875
39537,chr16,82626964,CDH13,ENSG00000140945.17,+,27.171875
43427,chr17,59892858,TUBD1,ENSG00000108423.15,-,27.1875
45761,chr19,35995187,SDHAF1,ENSG00000205138.4,+,27.1875
12490,chr4,77157206,CCNG2,ENSG00000138764.15,+,27.203125
37600,chr15,37100530,MEIS2,ENSG00000134138.22,-,27.203125
3928,chr1,109283186,PSRC1,ENSG00000134222.16,-,27.21875
38157,chr15,82046119,MEX3B,ENSG00000183496.6,-,27.21875
50598,chr22,30397044,SEC14L2,ENSG00000100003.18,+,27.21875
10538,chr3,19947009,EFHB,ENSG00000163576.18,-,27.21875
6034,chr2,119759921,PTPN4,ENSG00000088179.9,+,27.21875
36489,chr14,92040059,TRIP11,ENSG00000100815.12,-,27.234375
5943,chr2,108786756,CCDC138,ENSG00000163006.12,+,27.234375
37391,chr15,88467707,MRPS11,ENSG00000181991.16,+,27.234375
32084,chr12,82358528,METTL25,ENSG00000127720.8,+,27.234375
47874,chr19,45405069,PPP1R13L,ENSG00000104881.16,-,27.234375
374,chr1,22025510,ENSG00000289694,ENSG00000289694.1,+,27.25
18032,chr6,26033618,H2AC4,ENSG00000278463.2,-,27.25
28890,chr11,77066992,CAPN5,ENSG00000149260.18,+,27.25
50530,chr22,24952715,KIAA1671,ENSG00000197077.14,+,27.25
17025,chr6,33411013,PHF1,ENSG00000112511.18,+,27.265625
6241,chr2,169479479,ENSG00000251569,ENSG00000251569.1,+,27.265625
14339,chr5,61332257,ZSWIM6,ENSG00000130449.6,+,27.28125
46646,chr19,57191499,ZNF264,ENSG00000083844.11,+,27.28125
25451,chr9,132878284,AK8,ENSG00000165695.10,-,27.28125
12735,chr4,122826830,FGF2,ENSG00000138685.18,+,27.28125
42624,chr17,15651653,ENSG00000251537,ENSG00000251537.4,-,27.28125
43172,chr17,44503406,GPATCH8,ENSG00000186566.13,-,27.28125
7614,chr2,75710899,GCFC2,ENSG00000005436.14,-,27.28125
49540,chr20,37095989,RBL1,ENSG00000080839.12,-,27.296875
46730,chr19,58228913,ZNF544,ENSG00000198131.15,+,27.296875
36276,chr14,64972336,RAB15,ENSG00000139998.16,-,27.3125
43343,chr17,50866354,TOB1,ENSG00000141232.5,-,27.3125
51342,chr22,41947136,CENPM,ENSG00000100162.15,-,27.3125
19768,chr7,90154468,STEAP1,ENSG00000164647.9,+,27.3125
22688,chr8,8386439,PRAG1,ENSG00000275342.6,-,27.328125
4359,chr1,155562841,ASH1L,ENSG00000116539.14,-,27.328125
25096,chr9,95317671,FANCC,ENSG00000158169.14,-,27.328125
7105,chr2,15561334,NBAS,ENSG00000151779.14,-,27.328125
51194,chr22,35840426,RBFOX2,ENSG00000100320.24,-,27.34375
38118,chr15,78077711,TBC1D2B,ENSG00000167202.12,-,27.34375
23451,chr8,126558478,LRATD2,ENSG00000168672.4,-,27.359375
42945,chr17,40100589,NR1D1,ENSG00000126368.6,-,27.359375
16649,chr6,16238586,GMPR,ENSG00000137198.10,+,27.359375
19458,chr7,37920657,EPDR1,ENSG00000086289.13,+,27.359375
43446,chr17,61863493,BRIP1,ENSG00000136492.10,-,27.375
23826,chr9,36136784,GLIPR2,ENSG00000122694.16,+,27.375
31844,chr12,56118265,ZC3H10,ENSG00000135482.7,+,27.375
38104,chr15,76905340,SCAPER,ENSG00000140386.13,-,27.390625
26840,chr10,29736959,SVIL,ENSG00000197321.16,-,27.390625
52091,chrX,75274089,UPRT,ENSG00000094841.14,+,27.390625
40568,chr16,84145169,HSDL1,ENSG00000103160.12,-,27.40625
7409,chr2,55419895,CCDC88A,ENSG00000115355.18,-,27.40625
3413,chr1,37690520,C1orf109,ENSG00000116922.15,-,27.40625
9776,chr3,122680838,PARP14,ENSG00000173193.15,+,27.40625
13088,chr4,1684313,FAM53A,ENSG00000174137.14,-,27.40625
17,chr1,1308596,PUSL1,ENSG00000169972.13,+,27.40625
39823,chr16,3235158,ZNF200,ENSG00000010539.12,-,27.40625
50712,chr22,37608844,GGA1,ENSG00000100083.19,+,27.421875
47881,chr19,45584802,OPA3,ENSG00000125741.6,-,27.421875
48472,chr20,408342,RBCK1,ENSG00000125826.22,+,27.421875
37266,chr15,75647911,SNX33,ENSG00000173548.9,+,27.421875
33488,chr12,76348415,BBS10,ENSG00000179941.9,-,27.421875
46289,chr19,49157791,TRPM4,ENSG00000130529.16,+,27.4375
29158,chr11,117178742,SIDT2,ENSG00000149577.17,+,27.4375
25903,chr10,50067953,WASHC2A,ENSG00000099290.17,+,27.453125
30949,chr11,119423172,THY1,ENSG00000154096.14,-,27.453125
24415,chr9,130053905,GPR107,ENSG00000148358.21,+,27.453125
22125,chr8,55879834,LYN,ENSG00000254087.8,+,27.46875
18972,chr6,138987881,REPS1,ENSG00000135597.19,-,27.46875
49698,chr20,52191760,ZFP64,ENSG00000020256.20,-,27.46875
45397,chr19,17719479,MAP1S,ENSG00000130479.11,+,27.484375
32579,chr12,133181558,ZNF268,ENSG00000090612.22,+,27.484375
36460,chr14,89954730,EFCAB11,ENSG00000140025.16,-,27.5
52266,chrX,108439837,COL4A5,ENSG00000188153.14,+,27.5
35834,chr14,105474820,CRIP2,ENSG00000182809.11,+,27.515625
46316,chr19,49513254,FCGRT,ENSG00000104870.13,+,27.515625
17146,chr6,42050629,TAF8,ENSG00000137413.17,+,27.515625
53488,chrX,132218124,RAP2C,ENSG00000123728.10,-,27.515625
38348,chr16,570017,PIGQ,ENSG00000007541.17,+,27.53125
16081,chr5,135034228,PITX1,ENSG00000069011.16,-,27.53125
47448,chr19,21329410,ZNF708,ENSG00000182141.10,-,27.53125
15450,chr5,1112063,SLC12A7,ENSG00000113504.21,-,27.546875
38598,chr16,3401243,ZNF174,ENSG00000103343.13,+,27.546875
23942,chr9,83623048,IDNK,ENSG00000148057.16,+,27.546875
14766,chr5,128083765,SLC12A2,ENSG00000064651.14,+,27.5625
43796,chr17,81552353,FAAP100,ENSG00000185504.17,-,27.5625
12639,chr4,107824931,SGMS2,ENSG00000164023.15,+,27.5625
33760,chr12,112013139,TMEM116,ENSG00000198270.13,-,27.5625
1536,chr1,120723948,NBPF26,ENSG00000273136.8,+,27.578125
22880,chr8,27837817,PBK,ENSG00000168078.10,-,27.59375
27253,chr10,97292637,ARHGAP19-SLIT1,ENSG00000269891.2,-,27.59375
1683,chr1,151612049,SNX27,ENSG00000143376.14,+,27.59375
8798,chr3,9917115,IL17RC,ENSG00000163702.21,+,27.609375
33939,chr12,132761832,ANKLE2,ENSG00000176915.15,-,27.609375
4109,chr1,147172470,PRKAB2,ENSG00000131791.8,-,27.609375
48798,chr20,34558717,MAP1LC3A,ENSG00000101460.13,+,27.625
30808,chr11,111766368,PPP2R1B,ENSG00000137713.16,-,27.625
21357,chr7,122144255,AASS,ENSG00000008311.16,-,27.625
17473,chr6,108848421,ARMC2,ENSG00000118690.13,+,27.640625
8500,chr2,219543809,CHPF,ENSG00000123989.15,-,27.640625
53478,chrX,130903230,ENOX2,ENSG00000165675.19,-,27.640625
3056,chr1,15524215,CASP9,ENSG00000132906.18,-,27.640625
28839,chr11,74988932,NEU3,ENSG00000162139.10,+,27.65625
33118,chr12,49707405,FMNL3,ENSG00000161791.14,-,27.65625
17281,chr6,53795004,LRRC1,ENSG00000137269.15,+,27.65625
29400,chr11,134069071,JAM3,ENSG00000166086.13,+,27.671875
46428,chr19,52269592,ZNF766,ENSG00000196214.11,+,27.671875
25275,chr9,120714470,MEGF9,ENSG00000106780.9,-,27.6875
50272,chr21,41767089,RIPK4,ENSG00000183421.12,-,27.6875
1534,chr1,120723911,NOTCH2NLR,ENSG00000286106.3,+,27.6875
38914,chr16,28950936,NFATC2IP,ENSG00000176953.13,+,27.6875
53342,chrX,107118804,RBM41,ENSG00000089682.17,-,27.6875
5003,chr1,229558707,ABCB10,ENSG00000135776.5,-,27.6875
10424,chr3,9769947,CAMK1,ENSG00000134072.11,-,27.6875
26813,chr10,27100485,ANKRD26,ENSG00000107890.17,-,27.703125
513,chr1,26696014,ARID1A,ENSG00000117713.21,+,27.703125
36204,chr14,55411830,ATG14,ENSG00000126775.9,-,27.703125
45962,chr19,40778246,RAB4B,ENSG00000167578.18,+,27.703125
35984,chr14,23567791,AP1G2,ENSG00000213983.12,-,27.734375
49244,chr20,290429,C20orf96,ENSG00000196476.12,-,27.734375
37856,chr15,56243879,RFX7,ENSG00000181827.16,-,27.734375
17468,chr6,108295053,AFG1L,ENSG00000135537.17,+,27.734375
611,chr1,31576484,TINAGL1,ENSG00000142910.16,+,27.734375
41310,chr17,40062964,THRA,ENSG00000126351.13,+,27.734375
34389,chr13,114281602,UPF3A,ENSG00000169062.15,+,27.734375
46593,chr19,55476616,ZNF628,ENSG00000197483.11,+,27.75
47117,chr19,11197547,KANK2,ENSG00000197256.11,-,27.75
22816,chr8,22109419,NUDT18,ENSG00000275074.2,-,27.75
17085,chr6,36594361,SRSF3,ENSG00000112081.17,+,27.75
21856,chr8,22599600,C8orf58,ENSG00000241852.11,+,27.75
24695,chr9,15307209,TTC39B,ENSG00000155158.20,-,27.765625
42615,chr17,15563561,TVP23C-CDRT4,ENSG00000259024.7,-,27.765625
36410,chr14,76812882,ANGEL1,ENSG00000013523.11,-,27.765625
38139,chr15,78945018,CTSH,ENSG00000103811.18,-,27.765625
29246,chr11,120211031,OAF,ENSG00000184232.9,+,27.78125
6841,chr2,231961683,DIS3L2,ENSG00000144535.20,+,27.78125
42316,chr17,3636249,ENSG00000262304,ENSG00000262304.2,-,27.796875
33531,chr12,88142088,CEP290,ENSG00000198707.17,-,27.8125
14436,chr5,69492789,OCLN,ENSG00000197822.12,+,27.8125
38080,chr15,75368592,MAN2C1,ENSG00000140400.18,-,27.8125
16656,chr6,17393644,CAP2,ENSG00000112186.13,+,27.8125
20882,chr7,64563041,ZNF680,ENSG00000173041.12,-,27.828125
50277,chr21,42010357,ZBTB21,ENSG00000173276.14,-,27.84375
45617,chr19,34254553,GARRE1,ENSG00000166398.14,+,27.84375
4619,chr1,169893896,SCYL3,ENSG00000000457.14,-,27.84375
49439,chr20,25624014,NANP,ENSG00000170191.5,-,27.84375
16385,chr5,168579368,PANK3,ENSG00000120137.7,-,27.84375
27686,chr11,2377309,CD81,ENSG00000110651.13,+,27.84375
45525,chr19,21082202,ZNF714,ENSG00000160352.16,+,27.84375
20874,chr7,56051604,PSPH,ENSG00000146733.14,-,27.84375
31140,chr12,4538889,RAD51AP1,ENSG00000111247.15,+,27.859375
42943,chr17,40054405,MED24,ENSG00000008838.21,-,27.859375
4474,chr1,160031990,PIGM,ENSG00000143315.8,-,27.859375
25110,chr9,96418370,ZNF367,ENSG00000165244.7,-,27.859375
37638,chr15,40807473,DNAJC17,ENSG00000104129.10,-,27.875
14502,chr5,73626195,ARHGEF28,ENSG00000214944.10,+,27.875
20054,chr7,112450459,IFRD1,ENSG00000006652.15,+,27.875
15823,chr5,84384880,EDIL3,ENSG00000164176.13,-,27.890625
20177,chr7,129225029,AHCYL2,ENSG00000158467.17,+,27.890625
36307,chr14,67816587,ZFYVE26,ENSG00000072121.17,-,27.890625
35444,chr14,74084955,LIN52,ENSG00000205659.12,+,27.890625
1830,chr1,155324538,RUSC1,ENSG00000160753.17,+,27.890625
27254,chr10,97292673,ARHGAP19,ENSG00000213390.11,-,27.890625
44261,chr18,58221534,NEDD4L,ENSG00000049759.20,+,27.90625
36420,chr14,77377094,TMED8,ENSG00000100580.8,-,27.90625
44847,chr19,1354958,PWWP3A,ENSG00000160953.17,+,27.921875
49919,chr21,36385391,CHAF1B,ENSG00000159259.8,+,27.921875
50623,chr22,31081318,SMTN,ENSG00000183963.19,+,27.921875
10113,chr3,157436849,PTX3,ENSG00000163661.4,+,27.921875
47105,chr19,10566010,KRI1,ENSG00000129347.21,-,27.921875
38514,chr16,2538002,PDPK1,ENSG00000140992.19,+,27.9375
6541,chr2,203014874,NBEAL1,ENSG00000144426.19,+,27.9375
25663,chr10,11742381,ECHDC3,ENSG00000134463.15,+,27.953125
30953,chr11,119729200,NECTIN1,ENSG00000110400.11,-,27.953125
19348,chr7,26291935,SNX10,ENSG00000086300.17,+,27.96875
53016,chrX,49123735,GPKOW,ENSG00000068394.11,-,27.96875
35470,chr14,75428021,JDP2,ENSG00000140044.13,+,27.96875
29548,chr11,4608231,TRIM68,ENSG00000167333.13,-,27.984375
24778,chr9,32552568,ENSG00000288684,ENSG00000288684.1,-,27.984375
25558,chr9,137054061,ENTPD2,ENSG00000054179.12,-,28.0
36601,chr14,102509799,ANKRD9,ENSG00000156381.9,-,28.015625
24078,chr9,100099287,INVS,ENSG00000119509.13,+,28.015625
32177,chr12,101280104,UTP20,ENSG00000120800.5,+,28.015625
34333,chr13,110713699,ING1,ENSG00000153487.13,+,28.015625
16698,chr6,25962801,TRIM38,ENSG00000112343.11,+,28.03125
1357,chr1,108560088,EEIG2,ENSG00000162636.16,+,28.03125
39720,chr16,970866,LMF1,ENSG00000103227.19,-,28.046875
34115,chr13,43023585,DNAJC15,ENSG00000120675.6,+,28.046875
20958,chr7,76627240,POMZP3,ENSG00000146707.15,-,28.046875
25850,chr10,45727199,WASHC2C,ENSG00000172661.20,+,28.046875
31880,chr12,57089093,NAB2,ENSG00000166886.13,+,28.046875
43848,chr17,81937257,PYCR1,ENSG00000183010.17,-,28.0625
44404,chr18,11908317,MPPE1,ENSG00000154889.17,-,28.0625
14912,chr5,140639450,TMCO6,ENSG00000113119.13,+,28.0625
24325,chr9,128276221,SWI5,ENSG00000175854.15,+,28.0625
10706,chr3,45995824,FYCO1,ENSG00000163820.16,-,28.0625
30814,chr11,111879165,FDXACB1,ENSG00000255561.7,-,28.0625
24458,chr9,131502949,POMT1,ENSG00000130714.19,+,28.078125
19479,chr7,43926435,UBE2D4,ENSG00000078967.13,+,28.078125
7438,chr2,60553571,BCL11A,ENSG00000119866.22,-,28.078125
36467,chr14,90816430,TTC7B,ENSG00000165914.15,-,28.078125
19833,chr7,98106861,LMTK2,ENSG00000164715.6,+,28.078125
42136,chr17,81712306,SLC25A10,ENSG00000183048.12,+,28.09375
35959,chr14,23071565,ACIN1,ENSG00000100813.15,-,28.09375
41888,chr17,72121019,SOX9,ENSG00000125398.8,+,28.09375
21836,chr8,22367277,SLC39A14,ENSG00000104635.15,+,28.109375
43433,chr17,60392133,USP32,ENSG00000170832.13,-,28.109375
20485,chr7,157337003,DNAJB6,ENSG00000105993.15,+,28.109375
24040,chr9,95875655,ERCC6L2,ENSG00000182150.19,+,28.125
46808,chr19,1568325,MEX3D,ENSG00000181588.17,-,28.125
38511,chr16,2520389,AMDHD2,ENSG00000162066.16,+,28.125
37254,chr15,75201881,C15orf39,ENSG00000167173.19,+,28.125
6040,chr2,120252851,RALB,ENSG00000144118.14,+,28.125
15438,chr5,181223289,TRIM41,ENSG00000146063.20,+,28.140625
11126,chr3,79019459,ROBO1,ENSG00000169855.21,-,28.140625
2753,chr1,241848203,EXO1,ENSG00000174371.17,+,28.140625
15941,chr5,115262851,PGGT1B,ENSG00000164219.10,-,28.140625
48736,chr20,32109713,TM9SF4,ENSG00000101337.16,+,28.140625
52430,chrX,135973840,SLC9A6,ENSG00000198689.13,+,28.15625
47709,chr19,40690651,NUMBL,ENSG00000105245.9,-,28.15625
2672,chr1,228458102,H2BC26,ENSG00000196890.5,+,28.15625
19385,chr7,30028360,PLEKHA8,ENSG00000106086.21,+,28.171875
45070,chr19,7680832,TRAPPC5,ENSG00000181029.9,+,28.171875
21314,chr7,108456397,NRCAM,ENSG00000091129.22,-,28.171875
8990,chr3,32106619,GPD1L,ENSG00000152642.11,+,28.1875
4507,chr1,161038937,TSTD1,ENSG00000215845.11,-,28.1875
52126,chrX,85003876,APOOL,ENSG00000155008.16,+,28.1875
12773,chr4,129093699,C4orf33,ENSG00000151470.13,+,28.1875
6728,chr2,219543662,TMEM198,ENSG00000188760.11,+,28.1875
39495,chr16,77191191,MON1B,ENSG00000103111.15,+,28.203125
40829,chr17,7352161,KCTD11,ENSG00000213859.8,+,28.203125
9487,chr3,66998306,KBTBD8,ENSG00000163376.11,+,28.203125
42109,chr17,80991840,CHMP6,ENSG00000176108.9,+,28.203125
17584,chr6,125153792,TPD52L1,ENSG00000111907.21,+,28.203125
20151,chr7,128476753,METTL2B,ENSG00000165055.16,+,28.203125
21063,chr7,93890753,TFPI2,ENSG00000105825.14,-,28.203125
47330,chr19,16628204,MED26,ENSG00000105085.11,-,28.21875
47326,chr19,16628204,ENSG00000141979,ENSG00000141979.4,-,28.21875
47528,chr19,35510410,DMKN,ENSG00000161249.21,-,28.21875
27515,chr10,125160563,CTBP2,ENSG00000175029.17,-,28.21875
20029,chr7,107169002,HBP1,ENSG00000105856.14,+,28.234375
33196,chr12,53079377,SPRYD3,ENSG00000167778.9,-,28.234375
47027,chr19,8514167,ZNF414,ENSG00000133250.14,-,28.25
19851,chr7,99438921,CPSF4,ENSG00000160917.15,+,28.25
1426,chr1,110034623,STRIP1,ENSG00000143093.15,+,28.25
4051,chr1,119648266,ZNF697,ENSG00000143067.5,-,28.265625
36639,chr14,105181312,NUDT14,ENSG00000183828.15,-,28.265625
44445,chr18,24397824,OSBPL1A,ENSG00000141447.19,-,28.265625
30005,chr11,47715369,AGBL2,ENSG00000165923.17,-,28.265625
34101,chr13,41061508,WBP4,ENSG00000120688.9,+,28.28125
31504,chr12,38316773,ALG10B,ENSG00000175548.9,+,28.28125
26999,chr10,58267894,IPMK,ENSG00000151151.6,-,28.28125
50681,chr22,35381095,HMOX1,ENSG00000100292.18,+,28.28125
44620,chr18,54357858,STARD6,ENSG00000174448.9,-,28.28125
38057,chr15,74433955,SEMA7A,ENSG00000138623.10,-,28.296875
7836,chr2,119366742,C2orf76,ENSG00000186132.15,-,28.296875
34082,chr13,36819221,RFXAP,ENSG00000133111.4,+,28.296875
5861,chr2,100820138,NPAS2,ENSG00000170485.17,+,28.3125
38425,chr16,1612359,CRAMP1,ENSG00000007545.16,+,28.34375
19797,chr7,92528794,RBM48,ENSG00000127993.16,+,28.34375
14110,chr4,186723856,FAT1,ENSG00000083857.15,-,28.34375
38033,chr15,72686182,HIGD2B,ENSG00000175202.6,-,28.34375
6944,chr2,238061030,SCLY,ENSG00000132330.18,+,28.359375
53092,chrX,55161102,FAM104B,ENSG00000182518.14,-,28.359375
48952,chr20,44910059,PABPC1L,ENSG00000101104.13,+,28.375
6407,chr2,188974372,COL3A1,ENSG00000168542.17,+,28.375
33227,chr12,53727439,CALCOCO1,ENSG00000012822.16,-,28.375
36142,chr14,50116600,VCPKMT,ENSG00000100483.14,-,28.390625
46321,chr19,49642208,SCAF1,ENSG00000126461.15,+,28.390625
7535,chr2,71227103,PAIP2B,ENSG00000124374.9,-,28.390625
42466,chr17,7262478,CLDN7,ENSG00000181885.18,-,28.390625
15790,chr5,78985310,ARSB,ENSG00000113273.17,-,28.40625
43437,chr17,61591219,NACA2,ENSG00000253506.3,-,28.40625
