,Chromosome,Start,gene_name,gene_id,Strand,"K562 ENCODE, biol_"
43101,chr17,42980528,PTGES3L-AARSD1,ENSG00000108825.18,-,41.3125
46091,chr19,44165100,ZNF226,ENSG00000167380.17,+,41.3125
31934,chr12,59596066,SLC16A7,ENSG00000118596.12,+,41.3125
3932,chr1,109397918,SORT1,ENSG00000134243.12,-,41.3125
25742,chr10,23439074,OTUD1,ENSG00000165312.7,+,41.34375
21326,chr7,111562517,IMMP2L,ENSG00000184903.10,-,41.34375
35422,chr14,73645008,DNAL1,ENSG00000119661.15,+,41.34375
47347,chr19,17334829,ANO8,ENSG00000074855.11,-,41.34375
53588,chrX,149631698,TMEM185A,ENSG00000269556.9,-,41.34375
6040,chr2,120252851,RALB,ENSG00000144118.14,+,41.34375
8497,chr2,219387912,DNPEP,ENSG00000123992.20,-,41.34375
51910,chrX,51743441,GSPT2,ENSG00000189369.9,+,41.375
53618,chrX,153470576,HAUS7,ENSG00000213397.12,-,41.375
46320,chr19,49591181,PRR12,ENSG00000126464.15,+,41.375
26842,chr10,30349278,MTPAP,ENSG00000107951.15,-,41.375
41890,chr17,73193054,COG1,ENSG00000166685.13,+,41.375
2242,chr1,181088699,IER5,ENSG00000162783.11,+,41.40625
44888,chr19,2163932,DOT1L,ENSG00000104885.19,+,41.40625
24863,chr9,35079942,FANCG,ENSG00000221829.11,-,41.40625
45596,chr19,32972256,FAAP24,ENSG00000131944.11,+,41.40625
11039,chr3,59050012,CFAP20DC,ENSG00000163689.21,-,41.40625
46155,chr19,45178783,BLOC1S3,ENSG00000189114.8,+,41.40625
13206,chr4,18021755,LCORL,ENSG00000178177.17,-,41.4375
42317,chr17,3636250,SHPK,ENSG00000197417.9,-,41.4375
15302,chr5,173144441,BNIP1,ENSG00000113734.18,+,41.4375
3288,chr1,30908758,SDC3,ENSG00000162512.16,-,41.46875
23158,chr8,80171558,TPD52,ENSG00000076554.16,-,41.46875
45905,chr19,39412668,PLEKHG2,ENSG00000090924.15,+,41.46875
51930,chrX,53082366,TSPYL2,ENSG00000184205.14,+,41.5
36807,chr15,40807589,ZFYVE19,ENSG00000166140.17,+,41.5
30780,chr11,107858787,SLC35F2,ENSG00000110660.15,-,41.5
41048,chr17,19648805,ALDH3A2,ENSG00000072210.19,+,41.5
25088,chr9,93451562,FAM120AOS,ENSG00000188938.17,-,41.5
8317,chr2,201642670,TMEM237,ENSG00000155755.20,-,41.53125
33833,chr12,121016487,C12orf43,ENSG00000157895.11,-,41.5625
34304,chr13,102799109,BIVM-ERCC5,ENSG00000270181.3,+,41.5625
11356,chr3,125375251,ZNF148,ENSG00000163848.21,-,41.5625
33690,chr12,108857583,SSH1,ENSG00000084112.15,-,41.5625
41696,chr17,56834106,DGKE,ENSG00000153933.10,+,41.59375
24830,chr9,34612104,RPP25L,ENSG00000164967.10,-,41.59375
43349,chr17,51260049,MBTD1,ENSG00000011258.16,-,41.625
46703,chr19,57746814,ZNF776,ENSG00000152443.13,+,41.625
32431,chr12,121210064,P2RX4,ENSG00000135124.16,+,41.625
40171,chr16,30610351,ENSG00000289491,ENSG00000289491.1,-,41.65625
33488,chr12,76348415,BBS10,ENSG00000179941.9,-,41.65625
32467,chr12,122835456,HIP1R,ENSG00000130787.14,+,41.65625
9651,chr3,108589721,DZIP3,ENSG00000198919.13,+,41.65625
13154,chr4,7939926,AFAP1,ENSG00000196526.11,-,41.65625
49620,chr20,45891208,NEURL2,ENSG00000124257.7,-,41.6875
22181,chr8,66667615,C8orf44-SGK3,ENSG00000288602.1,+,41.6875
11996,chr4,1011625,FGFRL1,ENSG00000127418.15,+,41.6875
7846,chr2,127107154,BIN1,ENSG00000136717.15,-,41.6875
32638,chr12,6470645,VAMP1,ENSG00000139190.17,-,41.6875
30808,chr11,111766368,PPP2R1B,ENSG00000137713.16,-,41.6875
47383,chr19,18522070,ELL,ENSG00000105656.13,-,41.71875
51897,chrX,49922614,CLCN5,ENSG00000171365.17,+,41.71875
17177,chr6,43076341,PTK7,ENSG00000112655.16,+,41.71875
9187,chr3,44625035,ZNF197,ENSG00000186448.15,+,41.71875
48060,chr19,49867555,PNKP,ENSG00000039650.12,-,41.71875
53663,chrX,154409254,DNASE1L1,ENSG00000013563.14,-,41.75
5180,chr2,9206764,ASAP2,ENSG00000151693.11,+,41.75
51408,chr22,46250293,CDPF1,ENSG00000205643.11,-,41.75
47765,chr19,42255132,ENSG00000268643,ENSG00000268643.2,-,41.75
38369,chr16,715117,METRN,ENSG00000103260.9,+,41.78125
51423,chr22,50251265,HDAC10,ENSG00000100429.18,-,41.78125
5386,chr2,32063967,SPAST,ENSG00000021574.14,+,41.78125
6699,chr2,219229786,ANKZF1,ENSG00000163516.14,+,41.78125
43848,chr17,81937257,PYCR1,ENSG00000183010.17,-,41.78125
45617,chr19,34254553,GARRE1,ENSG00000166398.14,+,41.78125
44725,chr18,75209139,PTGR3,ENSG00000180011.7,-,41.78125
3257,chr1,27672178,IFI6,ENSG00000126709.16,-,41.8125
26244,chr10,92689954,HHEX,ENSG00000152804.11,+,41.8125
43562,chr17,68457496,WIPI1,ENSG00000070540.13,-,41.8125
33243,chr12,54301015,NFE2,ENSG00000123405.14,-,41.8125
12515,chr4,82900734,THAP9,ENSG00000168152.13,+,41.84375
34421,chr13,20773961,EEF1AKMT1,ENSG00000150456.11,-,41.84375
36783,chr15,40405794,IVD,ENSG00000128928.10,+,41.84375
16724,chr6,26272930,H2BC10,ENSG00000278588.2,+,41.875
12490,chr4,77157206,CCNG2,ENSG00000138764.15,+,41.875
445,chr1,24502896,RCAN3,ENSG00000117602.13,+,41.90625
49698,chr20,52191760,ZFP64,ENSG00000020256.20,-,41.90625
41033,chr17,19378497,MAPK7,ENSG00000166484.20,+,41.90625
43092,chr17,42745040,EZH1,ENSG00000108799.13,-,41.90625
4219,chr1,151790522,TDRKH,ENSG00000182134.17,-,41.90625
3056,chr1,15524215,CASP9,ENSG00000132906.18,-,41.9375
19469,chr7,39950120,CDK13,ENSG00000065883.18,+,41.9375
39859,chr16,4538773,CDIP1,ENSG00000089486.17,-,41.9375
38386,chr16,788624,CHTF18,ENSG00000127586.17,+,41.9375
20026,chr7,107044704,PRKAR2B,ENSG00000005249.14,+,41.96875
33118,chr12,49707405,FMNL3,ENSG00000161791.14,-,41.96875
35134,chr14,45135931,FANCM,ENSG00000187790.12,+,41.96875
16347,chr5,157575775,ADAM19,ENSG00000135074.16,-,41.96875
37581,chr15,34367196,LPCAT4,ENSG00000176454.15,-,42.0
50347,chr21,46323870,C21orf58,ENSG00000160298.18,-,42.0
1075,chr1,64745074,RAVER2,ENSG00000162437.15,+,42.0
7409,chr2,55419895,CCDC88A,ENSG00000115355.18,-,42.0
42316,chr17,3636249,ENSG00000262304,ENSG00000262304.2,-,42.0
1351,chr1,107056673,PRMT6,ENSG00000198890.9,+,42.0
974,chr1,52142088,ZFYVE9,ENSG00000157077.16,+,42.0
5014,chr1,230868521,C1orf198,ENSG00000119280.17,-,42.03125
10706,chr3,45995824,FYCO1,ENSG00000163820.16,-,42.03125
6888,chr2,233354493,DGKD,ENSG00000077044.11,+,42.0625
26596,chr10,125896563,FANK1,ENSG00000203780.12,+,42.0625
5844,chr2,98444949,INPP4A,ENSG00000040933.16,+,42.0625
13028,chr4,185143265,SLC25A4,ENSG00000151729.11,+,42.0625
23258,chr8,95269201,CFAP418,ENSG00000156172.6,-,42.09375
50924,chr22,50201010,SELENOO,ENSG00000073169.15,+,42.09375
47451,chr19,21836182,ZNF43,ENSG00000198521.12,-,42.09375
38337,chr16,401857,DECR2,ENSG00000242612.7,+,42.125
24718,chr9,20622499,MLLT3,ENSG00000171843.17,-,42.15625
39720,chr16,970866,LMF1,ENSG00000103227.19,-,42.15625
25395,chr9,128724123,ZDHHC12,ENSG00000160446.19,-,42.15625
46144,chr19,45001463,RELB,ENSG00000104856.15,+,42.1875
53488,chrX,132218124,RAP2C,ENSG00000123728.10,-,42.1875
2969,chr1,6602869,KLHL21,ENSG00000162413.17,-,42.1875
42136,chr17,81712306,SLC25A10,ENSG00000183048.12,+,42.1875
24050,chr9,97412095,TDRD7,ENSG00000196116.8,+,42.1875
33196,chr12,53079377,SPRYD3,ENSG00000167778.9,-,42.1875
31148,chr12,4649100,ENSG00000255639,ENSG00000255639.3,+,42.1875
7644,chr2,85602698,TMEM150A,ENSG00000168890.14,-,42.21875
25086,chr9,93134251,NINJ1,ENSG00000131669.10,-,42.25
35429,chr14,73851970,ENSG00000258653,ENSG00000258653.3,+,42.25
27392,chr10,104338448,ITPRIP,ENSG00000148841.17,-,42.25
11094,chr3,71064926,FOXP1,ENSG00000114861.24,-,42.25
24182,chr9,116687329,TRIM32,ENSG00000119401.11,+,42.25
31137,chr12,4273761,CCND2,ENSG00000118971.9,+,42.25
18520,chr6,57222307,RAB23,ENSG00000112210.12,-,42.25
1871,chr1,156282947,TMEM79,ENSG00000163472.19,+,42.25
36789,chr15,40569298,RPUSD2,ENSG00000166133.18,+,42.25
50414,chr22,20021109,TANGO2,ENSG00000183597.16,+,42.28125
17100,chr6,37257771,TBC1D22B,ENSG00000065491.8,+,42.28125
47428,chr19,19643657,GMIP,ENSG00000089639.11,-,42.28125
11143,chr3,93973833,PROS1,ENSG00000184500.16,-,42.28125
44198,chr18,48539157,CTIF,ENSG00000134030.14,+,42.28125
41423,chr17,43006739,IFI35,ENSG00000068079.8,+,42.28125
49219,chr20,63739775,SLC2A4RG,ENSG00000125520.14,+,42.3125
18030,chr6,26027283,H4C2,ENSG00000278705.3,-,42.3125
6181,chr2,158456951,PKP4,ENSG00000144283.23,+,42.3125
29416,chr11,236352,SIRT3,ENSG00000142082.15,-,42.3125
45962,chr19,40778246,RAB4B,ENSG00000167578.18,+,42.3125
53478,chrX,130903230,ENOX2,ENSG00000165675.19,-,42.3125
53267,chrX,86047539,CHM,ENSG00000188419.14,-,42.3125
20056,chr7,112450486,ENSG00000288634,ENSG00000288634.1,+,42.3125
23400,chr8,118111826,EXT1,ENSG00000182197.13,-,42.34375
50909,chr22,49853843,ZBED4,ENSG00000100426.7,+,42.34375
16422,chr5,176537402,RNF44,ENSG00000146083.12,-,42.34375
957,chr1,50968705,CDKN2C,ENSG00000123080.12,+,42.34375
25369,chr9,127899591,ENSG00000257524,ENSG00000257524.6,-,42.34375
36643,chr14,105300992,BRF1,ENSG00000185024.18,-,42.375
44219,chr18,50968018,ENSG00000267699,ENSG00000267699.2,+,42.375
22940,chr8,38382272,NSD3,ENSG00000147548.17,-,42.40625
4403,chr1,156601470,GPATCH4,ENSG00000160818.17,-,42.40625
16197,chr5,142013030,GNPDA1,ENSG00000113552.16,-,42.40625
45218,chr19,11597482,ZNF627,ENSG00000198551.10,+,42.40625
19752,chr7,87345663,CROT,ENSG00000005469.12,+,42.4375
38532,chr16,2911930,FLYWCH1,ENSG00000059122.17,+,42.46875
10369,chr3,194136147,HES1,ENSG00000114315.4,+,42.46875
52149,chrX,96684841,DIAPH2,ENSG00000147202.19,+,42.5
30994,chr11,124800406,MSANTD2,ENSG00000120458.13,-,42.5
46344,chr19,49877665,TBC1D17,ENSG00000104946.14,+,42.5
25831,chr10,38094346,ZNF37A,ENSG00000075407.19,+,42.5
1040,chr1,61082620,NFIA,ENSG00000162599.18,+,42.5
15093,chr5,149960757,SLC26A2,ENSG00000155850.9,+,42.53125
2636,chr1,226940293,COQ8A,ENSG00000163050.18,+,42.53125
6034,chr2,119759921,PTPN4,ENSG00000088179.9,+,42.53125
12144,chr4,15002480,CPEB2,ENSG00000137449.17,+,42.53125
26235,chr10,91410284,HECTD2,ENSG00000165338.17,+,42.53125
23081,chr8,66613294,MYBL1,ENSG00000185697.17,-,42.53125
4203,chr1,151327657,PI4KB,ENSG00000143393.17,-,42.5625
14574,chr5,81972022,ATG10,ENSG00000152348.16,+,42.5625
25682,chr10,13161557,MCM10,ENSG00000065328.17,+,42.5625
20769,chr7,43906627,URGCP,ENSG00000106608.17,-,42.5625
13177,chr4,10457426,ZNF518B,ENSG00000178163.8,-,42.59375
35973,chr14,23286070,HOMEZ,ENSG00000290292.10,-,42.59375
29259,chr11,121024071,TBCEL,ENSG00000154114.13,+,42.59375
15440,chr5,218153,CCDC127,ENSG00000164366.4,-,42.59375
3234,chr1,26900467,GPATCH3,ENSG00000198746.13,-,42.625
27323,chr10,101695170,FBXW4,ENSG00000107829.15,-,42.625
14657,chr5,103258762,MACIR,ENSG00000181751.10,+,42.625
52441,chrX,136147535,FHL1,ENSG00000022267.19,+,42.625
11360,chr3,126084124,SLC41A3,ENSG00000114544.17,-,42.65625
18839,chr6,119349761,MAN1A1,ENSG00000111885.7,-,42.65625
25406,chr9,129028279,SH3GLB2,ENSG00000148341.18,-,42.65625
14339,chr5,61332257,ZSWIM6,ENSG00000130449.6,+,42.65625
1864,chr1,156194103,SLC25A44,ENSG00000160785.14,+,42.65625
41447,chr17,44141929,HROB,ENSG00000125319.15,+,42.65625
38080,chr15,75368592,MAN2C1,ENSG00000140400.18,-,42.6875
11291,chr3,122416062,WDR5B,ENSG00000196981.4,-,42.6875
7734,chr2,97094882,FAHD2B,ENSG00000144199.12,-,42.6875
16885,chr6,30914237,VARS2,ENSG00000137411.19,+,42.6875
40672,chr17,1724703,WDR81,ENSG00000167716.19,+,42.6875
18032,chr6,26033618,H2AC4,ENSG00000278463.2,-,42.6875
24778,chr9,32552568,ENSG00000288684,ENSG00000288684.1,-,42.6875
14162,chr5,10441878,ROPN1L,ENSG00000145491.12,+,42.6875
32969,chr12,32755897,YARS2,ENSG00000139131.13,-,42.6875
14910,chr5,140564827,SLC35A4,ENSG00000176087.16,+,42.71875
6488,chr2,201072029,NDUFB3,ENSG00000119013.10,+,42.71875
1004,chr1,54053607,TCEANC2,ENSG00000116205.14,+,42.71875
45517,chr19,20923250,ZNF85,ENSG00000105750.15,+,42.71875
43621,chr17,74872976,FDXR,ENSG00000161513.12,-,42.75
37076,chr15,63277604,APH1B,ENSG00000138613.14,+,42.78125
42657,chr17,17836987,SREBF1,ENSG00000072310.18,-,42.78125
5758,chr2,85584430,VAMP5,ENSG00000168899.5,+,42.78125
42076,chr17,79778193,CBX2,ENSG00000173894.11,+,42.78125
52430,chrX,135973840,SLC9A6,ENSG00000198689.13,+,42.8125
7842,chr2,121649451,CLASP1,ENSG00000074054.21,-,42.8125
51270,chr22,38181754,PLA2G6,ENSG00000184381.20,-,42.8125
36204,chr14,55411830,ATG14,ENSG00000126775.9,-,42.84375
8229,chr2,189762792,OSGEPL1,ENSG00000128694.12,-,42.84375
45397,chr19,17719479,MAP1S,ENSG00000130479.11,+,42.84375
49470,chr20,33674428,NECAB3,ENSG00000125967.17,-,42.84375
37281,chr15,77420887,HMG20A,ENSG00000140382.15,+,42.84375
42526,chr17,8248056,CTC1,ENSG00000178971.17,-,42.84375
15086,chr5,149358045,PCYOX1L,ENSG00000145882.11,+,42.875
45739,chr19,35748575,LIN37,ENSG00000267796.8,+,42.875
52414,chrX,134807236,PABIR3,ENSG00000156500.16,+,42.875
32975,chr12,38905591,CPNE8,ENSG00000139117.14,-,42.875
21497,chr7,140176983,KDM7A,ENSG00000006459.11,-,42.875
33415,chr12,64222296,KICS2,ENSG00000174206.13,-,42.875
19833,chr7,98106861,LMTK2,ENSG00000164715.6,+,42.875
8680,chr2,241149472,PASK,ENSG00000115687.14,-,42.90625
6291,chr2,171999952,METAP1D,ENSG00000172878.14,+,42.9375
39837,chr16,3400989,ZSCAN32,ENSG00000140987.21,-,42.9375
2528,chr1,212608760,ATF3,ENSG00000162772.18,+,42.9375
37254,chr15,75201881,C15orf39,ENSG00000167173.19,+,42.9375
46646,chr19,57191499,ZNF264,ENSG00000083844.11,+,42.9375
39016,chr16,30650959,PRR14,ENSG00000156858.12,+,42.9375
5032,chr1,234479179,TARBP1,ENSG00000059588.10,-,42.9375
36468,chr14,91060641,RPS6KA5,ENSG00000100784.12,-,42.9375
144,chr1,9234773,H6PD,ENSG00000049239.13,+,42.9375
53254,chrX,81201913,HMGN5,ENSG00000198157.11,-,42.9375
17468,chr6,108295053,AFG1L,ENSG00000135537.17,+,42.96875
20282,chr7,141551394,AGK,ENSG00000006530.18,+,43.0
45506,chr19,19865881,ZNF253,ENSG00000256771.5,+,43.0
33381,chr12,57520511,DDIT3,ENSG00000175197.13,-,43.0
6531,chr2,202376326,BMPR2,ENSG00000204217.16,+,43.0
46711,chr19,57819805,ENSG00000268750,ENSG00000268750.7,+,43.03125
2945,chr1,5992473,NPHP4,ENSG00000131697.18,-,43.03125
46712,chr19,57819720,ZNF587B,ENSG00000269343.9,+,43.0625
46601,chr19,55605646,ZNF865,ENSG00000261221.5,+,43.0625
51948,chrX,54809059,MAGED2,ENSG00000102316.17,+,43.0625
24325,chr9,128276221,SWI5,ENSG00000175854.15,+,43.09375
165,chr1,10032957,UBE4B,ENSG00000130939.20,+,43.09375
18108,chr6,30684744,PPP1R18,ENSG00000146112.12,-,43.09375
30540,chr11,77820722,RSF1,ENSG00000048649.14,-,43.125
8269,chr2,196926730,PGAP1,ENSG00000197121.15,-,43.125
4930,chr1,221742089,DUSP10,ENSG00000143507.18,-,43.15625
39558,chr16,84648510,KLHL36,ENSG00000135686.13,+,43.15625
19874,chr7,99616945,ZSCAN25,ENSG00000197037.11,+,43.15625
53016,chrX,49123735,GPKOW,ENSG00000068394.11,-,43.15625
25566,chr9,137200741,TPRN,ENSG00000176058.13,-,43.15625
19385,chr7,30028360,PLEKHA8,ENSG00000106086.21,+,43.15625
37120,chr15,66293567,DIS3L,ENSG00000166938.13,+,43.1875
12188,chr4,25312773,ZCCHC4,ENSG00000168228.16,+,43.1875
43365,chr17,56961050,COIL,ENSG00000121058.5,-,43.21875
10972,chr3,52770940,NEK4,ENSG00000114904.13,-,43.21875
52960,chrX,48911646,SLC35A2,ENSG00000102100.16,-,43.25
14146,chr5,6713431,TENT4A,ENSG00000112941.14,+,43.25
22271,chr8,85107237,LRRCC1,ENSG00000133739.16,+,43.25
47341,chr19,17245919,NR2F6,ENSG00000160113.6,-,43.28125
51044,chr22,21982787,TOP3B,ENSG00000100038.20,-,43.28125
3367,chr1,35031690,ZMYM6,ENSG00000163867.17,-,43.3125
39316,chr16,67528828,RIPOR1,ENSG00000039523.20,+,43.3125
16698,chr6,25962801,TRIM38,ENSG00000112343.11,+,43.3125
33939,chr12,132761832,ANKLE2,ENSG00000176915.15,-,43.3125
21772,chr8,17156481,ZDHHC2,ENSG00000104219.13,+,43.34375
9,chr1,1020122,AGRN,ENSG00000188157.15,+,43.34375
35510,chr14,77098310,ENSG00000259164,ENSG00000259164.1,+,43.34375
16741,chr6,26457954,BTN2A1,ENSG00000112763.17,+,43.34375
38252,chr15,90102477,IDH2,ENSG00000182054.10,-,43.375
3316,chr1,32336233,MARCKSL1,ENSG00000175130.7,-,43.375
3928,chr1,109283186,PSRC1,ENSG00000134222.16,-,43.40625
25117,chr9,96778087,ZNF510,ENSG00000081386.13,-,43.40625
819,chr1,42846625,ZNF691,ENSG00000164011.18,+,43.40625
7258,chr2,37671642,CDC42EP3,ENSG00000163171.8,-,43.40625
45256,chr19,12891159,GCDH,ENSG00000105607.13,+,43.40625
20111,chr7,120950776,ING3,ENSG00000071243.16,+,43.40625
51209,chr22,36239527,APOL2,ENSG00000128335.14,-,43.40625
31844,chr12,56118265,ZC3H10,ENSG00000135482.7,+,43.4375
13635,chr4,98658611,TSPAN5,ENSG00000168785.8,-,43.46875
41948,chr17,75109968,ARMC7,ENSG00000125449.7,+,43.46875
29944,chr11,44950866,TP53I11,ENSG00000175274.19,-,43.46875
13702,chr4,103099834,BDH2,ENSG00000164039.15,-,43.5
27154,chr10,77926755,DLG5,ENSG00000151208.17,-,43.5
36143,chr14,50231578,SOS2,ENSG00000100485.12,-,43.5
45903,chr19,39406846,ZFP36,ENSG00000128016.7,+,43.5
28896,chr11,77821108,AAMDC,ENSG00000087884.16,+,43.53125
31504,chr12,38316773,ALG10B,ENSG00000175548.9,+,43.53125
38358,chr16,649324,WDR90,ENSG00000161996.19,+,43.5625
50712,chr22,37608844,GGA1,ENSG00000100083.19,+,43.5625
45072,chr19,7680878,TRAPPC5,ENSG00000181029.9,+,43.5625
7,chr1,1013496,ISG15,ENSG00000187608.10,+,43.5625
28124,chr11,47214973,DDB2,ENSG00000134574.12,+,43.5625
43431,chr17,60078921,HEATR6,ENSG00000068097.16,-,43.59375
13733,chr4,109703445,CASP6,ENSG00000138794.10,-,43.59375
5498,chr2,48440768,PPP1R21,ENSG00000162869.16,+,43.59375
25540,chr9,136687398,AGPAT2,ENSG00000169692.14,-,43.59375
50773,chr22,39399783,TAB1,ENSG00000100324.14,+,43.625
47908,chr19,45886141,IRF2BP1,ENSG00000170604.5,-,43.65625
13704,chr4,103198343,CENPE,ENSG00000138778.14,-,43.65625
37856,chr15,56243879,RFX7,ENSG00000181827.16,-,43.6875
32927,chr12,26833194,ITPR2,ENSG00000123104.12,-,43.71875
22566,chr8,143636018,ZNF623,ENSG00000183309.12,+,43.75
25378,chr9,127980989,EEIG1,ENSG00000167106.12,-,43.75
21050,chr7,92833917,CDK6,ENSG00000105810.10,-,43.75
3225,chr1,26306636,UBXN11,ENSG00000158062.21,-,43.75
42774,chr17,29180380,MYO18A,ENSG00000196535.20,-,43.78125
30006,chr11,47715369,AGBL2,ENSG00000165923.17,-,43.78125
6857,chr2,232633603,EFHD1,ENSG00000115468.13,+,43.78125
42919,chr17,39401656,FBXL20,ENSG00000108306.13,-,43.8125
667,chr1,33256491,ZNF362,ENSG00000160094.15,+,43.8125
42899,chr17,38748336,PCGF2,ENSG00000277258.5,-,43.8125
45538,chr19,21397155,ZNF493,ENSG00000196268.12,+,43.8125
43210,chr17,45317029,MAP3K14,ENSG00000006062.18,-,43.8125
24138,chr9,111525178,ZNF483,ENSG00000173258.13,+,43.8125
48540,chr20,4148827,SMOX,ENSG00000088826.18,+,43.8125
16960,chr6,31827737,HSPA1B,ENSG00000204388.7,+,43.8125
34568,chr13,42992230,EPSTI1,ENSG00000133106.15,-,43.8125
50723,chr22,37746232,TRIOBP,ENSG00000100106.22,+,43.84375
4619,chr1,169893896,SCYL3,ENSG00000000457.14,-,43.84375
45576,chr19,32345593,ZNF507,ENSG00000168813.17,+,43.875
27407,chr10,112183765,GPAM,ENSG00000119927.14,-,43.875
52779,chrX,15335503,PIGA,ENSG00000165195.16,-,43.875
46467,chr19,53431992,ZNF761,ENSG00000160336.17,+,43.875
8695,chr2,241508584,STK25,ENSG00000115694.15,-,43.875
24007,chr9,92325952,CENPP,ENSG00000188312.15,+,43.90625
47881,chr19,45584802,OPA3,ENSG00000125741.6,-,43.90625
45963,chr19,40778270,RAB4B-EGLN2,ENSG00000171570.11,+,43.9375
33644,chr12,103841234,NT5DC3,ENSG00000111696.12,-,43.9375
5429,chr2,38778209,GEMIN6,ENSG00000152147.11,+,43.9375
190,chr1,11273197,UBIAD1,ENSG00000120942.14,+,43.9375
34460,chr13,27620529,LNX2,ENSG00000139517.9,-,43.96875
39035,chr16,30949067,ORAI3,ENSG00000175938.7,+,43.96875
47446,chr19,20661571,ZNF626,ENSG00000188171.17,-,43.96875
37639,chr15,40807478,DNAJC17,ENSG00000104129.10,-,43.96875
1062,chr1,63367626,ALG6,ENSG00000088035.18,+,43.96875
47483,chr19,29715221,C19orf12,ENSG00000131943.20,-,43.96875
50657,chr22,31754000,DEPDC5,ENSG00000100150.20,+,43.96875
5974,chr2,112584594,CHCHD5,ENSG00000125611.16,+,43.96875
52971,chrX,48919024,PIM2,ENSG00000102096.10,-,44.0
42109,chr17,80991840,CHMP6,ENSG00000176108.9,+,44.0
46026,chr19,42220291,ZNF526,ENSG00000167625.12,+,44.0
25903,chr10,50067953,WASHC2A,ENSG00000099290.17,+,44.0
12096,chr4,6782731,KIAA0232,ENSG00000170871.12,+,44.0
37344,chr15,81000922,TLNRD1,ENSG00000140406.4,+,44.0
18952,chr6,136550422,MAP7,ENSG00000135525.19,-,44.0
3489,chr1,43453931,HYI,ENSG00000178922.18,-,44.03125
19663,chr7,74657717,GTF2I,ENSG00000263001.8,+,44.03125
35413,chr14,73490932,RIOX1,ENSG00000170468.8,+,44.03125
39571,chr16,85613321,GSE1,ENSG00000131149.19,+,44.03125
36410,chr14,76812882,ANGEL1,ENSG00000013523.11,-,44.03125
3362,chr1,34985313,ENSG00000284773,ENSG00000284773.1,-,44.0625
9382,chr3,52245758,PPM1M,ENSG00000164088.18,+,44.0625
50442,chr22,20982289,LZTR1,ENSG00000099949.22,+,44.0625
44237,chr18,56651342,WDR7,ENSG00000091157.15,+,44.0625
51602,chrX,15790483,ZRSR2,ENSG00000169249.14,+,44.0625
18186,chr6,32192643,GPSM3,ENSG00000213654.10,-,44.0625
38292,chr15,100602184,LINS1,ENSG00000140471.17,-,44.0625
37962,chr15,65792124,DENND4A,ENSG00000174485.16,-,44.0625
47101,chr19,10503356,KEAP1,ENSG00000079999.14,-,44.0625
40713,chr17,3636725,CTNS,ENSG00000040531.16,+,44.09375
35961,chr14,23071565,ACIN1,ENSG00000100813.15,-,44.09375
32713,chr12,7936187,SLC2A3,ENSG00000059804.17,-,44.09375
19479,chr7,43926435,UBE2D4,ENSG00000078967.13,+,44.125
38596,chr16,3401214,ZNF174,ENSG00000103343.13,+,44.125
15559,chr5,36241925,NADK2,ENSG00000152620.13,-,44.125
31470,chr12,31073897,DDX11,ENSG00000013573.17,+,44.125
40445,chr16,70686053,MTSS2,ENSG00000132613.16,-,44.125
5003,chr1,229558707,ABCB10,ENSG00000135776.5,-,44.15625
26501,chr10,113679911,CASP7,ENSG00000165806.21,+,44.1875
16522,chr5,180861276,ZFP62,ENSG00000196670.14,-,44.1875
35509,chr14,77098281,CIPC,ENSG00000198894.8,+,44.21875
7633,chr2,85354528,RETSAT,ENSG00000042445.14,-,44.21875
23335,chr8,102655725,KLF10,ENSG00000155090.15,-,44.21875
6731,chr2,219597856,STK11IP,ENSG00000144589.22,+,44.21875
9809,chr3,126983114,PLXNA1,ENSG00000114554.12,+,44.21875
40196,chr16,31202756,PYCARD,ENSG00000103490.14,-,44.21875
4976,chr1,226739323,ITPKB,ENSG00000143772.11,-,44.25
43574,chr17,69327133,ABCA5,ENSG00000154265.16,-,44.25
19015,chr6,149718105,LATS1,ENSG00000131023.13,-,44.25
36437,chr14,80941687,CEP128,ENSG00000100629.17,-,44.25
43224,chr17,46193400,KANSL1,ENSG00000120071.15,-,44.25
40120,chr16,29995617,HIRIP3,ENSG00000149929.16,-,44.25
17547,chr6,117482656,DCBLD1,ENSG00000164465.19,+,44.28125
45632,chr19,34677688,ZNF302,ENSG00000089335.22,+,44.28125
4958,chr1,225653123,ENAH,ENSG00000154380.19,-,44.28125
37391,chr15,88467707,MRPS11,ENSG00000181991.16,+,44.28125
49040,chr20,50190829,CEBPB,ENSG00000172216.6,+,44.3125
22569,chr8,143684478,ZNF707,ENSG00000181135.16,+,44.3125
14614,chr5,95731335,RHOBTB3,ENSG00000164292.13,+,44.3125
17,chr1,1308596,PUSL1,ENSG00000169972.13,+,44.34375
12948,chr4,158769025,FNIP2,ENSG00000052795.13,+,44.34375
51324,chr22,41446801,TOB2,ENSG00000183864.5,-,44.34375
46593,chr19,55476616,ZNF628,ENSG00000197483.11,+,44.375
27707,chr11,3797912,PGAP2,ENSG00000148985.20,+,44.375
46321,chr19,49642208,SCAF1,ENSG00000126461.15,+,44.375
29548,chr11,4608231,TRIM68,ENSG00000167333.13,-,44.375
20029,chr7,107169002,HBP1,ENSG00000105856.14,+,44.40625
18910,chr6,132798637,SLC18B1,ENSG00000146409.12,-,44.40625
48307,chr19,55117637,PPP1R12C,ENSG00000125503.13,-,44.40625
