,Chromosome,Start,gene_name,gene_id,Strand,"GM12878 ENCODE, biol_"
47946,chr19,47113776,ZC3H4,ENSG00000130749.10,-,80.0625
18872,chr6,129710177,ARHGAP18,ENSG00000146376.11,-,80.0625
32205,chr12,104064530,HCFC2,ENSG00000111727.12,+,80.0625
16550,chr6,391751,IRF4,ENSG00000137265.16,+,80.125
44962,chr19,4343561,MPND,ENSG00000008382.16,+,80.125
5507,chr2,53767803,CHAC2,ENSG00000143942.5,+,80.125
4125,chr1,149103551,NBPF9,ENSG00000269713.9,-,80.25
17894,chr6,2903309,SERPINB9,ENSG00000170542.6,-,80.25
47031,chr19,8610715,ADAMTS10,ENSG00000142303.14,-,80.25
46753,chr19,58451646,ZNF324B,ENSG00000249471.8,+,80.25
17187,chr6,43427540,ABCC10,ENSG00000124574.15,+,80.25
32569,chr12,133080931,ZNF140,ENSG00000196387.10,+,80.3125
15664,chr5,56952118,MIER3,ENSG00000155545.20,-,80.3125
27631,chr11,832951,CD151,ENSG00000177697.19,+,80.375
40552,chr16,81096296,ENSG00000260643,ENSG00000260643.2,-,80.375
42706,chr17,19867936,ULK2,ENSG00000083290.20,-,80.375
30377,chr11,67437682,PTPRCAP,ENSG00000213402.3,-,80.375
9,chr1,1020122,AGRN,ENSG00000188157.15,+,80.4375
22408,chr8,106657853,OXR1,ENSG00000164830.19,+,80.4375
2378,chr1,202348765,PPP1R12B,ENSG00000077157.23,+,80.4375
44907,chr19,2841443,ZNF555,ENSG00000186300.12,+,80.4375
35739,chr14,102319745,ZNF839,ENSG00000022976.16,+,80.5
34214,chr13,60397219,TDRD3,ENSG00000083544.16,+,80.5
24961,chr9,71768513,CEMIP2,ENSG00000135048.14,-,80.5
2005,chr1,161215278,FCER1G,ENSG00000158869.11,+,80.5
20173,chr7,128937988,IRF5,ENSG00000128604.21,+,80.5
12006,chr4,1347207,UVSSA,ENSG00000163945.19,+,80.5625
20175,chr7,129144706,TSPAN33,ENSG00000158457.6,+,80.625
49688,chr20,51542719,NFATC2,ENSG00000101096.20,-,80.625
46737,chr19,58278954,ZNF8,ENSG00000278129.2,+,80.625
40982,chr17,17972888,DRC3,ENSG00000171962.19,+,80.625
17034,chr6,33454575,ZBTB9,ENSG00000213588.6,+,80.625
43766,chr17,79797077,CBX8,ENSG00000141570.11,-,80.6875
38874,chr16,27203525,KDM8,ENSG00000155666.12,+,80.6875
7541,chr2,73071712,SFXN5,ENSG00000144040.13,-,80.75
42162,chr17,82023304,LRRC45,ENSG00000169683.8,+,80.75
39329,chr16,67645143,CARMIL2,ENSG00000159753.15,+,80.75
16996,chr6,32178404,RNF5,ENSG00000204308.8,+,80.75
36574,chr14,100306441,SLC25A29,ENSG00000197119.13,-,80.875
14012,chr4,169270956,SH3RF1,ENSG00000154447.15,-,80.875
33797,chr12,117099446,TESC,ENSG00000088992.18,-,80.875
1832,chr1,155563234,MSTO1,ENSG00000125459.18,+,80.875
18029,chr6,26017787,H1-1,ENSG00000124610.5,-,80.875
43848,chr17,81937257,PYCR1,ENSG00000183010.17,-,80.9375
8990,chr3,32106619,GPD1L,ENSG00000152642.11,+,81.0
17819,chr6,159790466,MRPL18,ENSG00000112110.10,+,81.0
16313,chr5,151686915,SPARC,ENSG00000113140.11,-,81.0
3288,chr1,30908758,SDC3,ENSG00000162512.16,-,81.0
511,chr1,26545851,RPS6KA1,ENSG00000117676.14,+,81.0
23431,chr8,123541206,FBXO32,ENSG00000156804.7,-,81.0
19809,chr7,94656369,PEG10,ENSG00000242265.6,+,81.0625
35842,chr14,105491267,TEDC1,ENSG00000185347.19,+,81.0625
41447,chr17,44141929,HROB,ENSG00000125319.15,+,81.0625
46727,chr19,58183426,ZNF274,ENSG00000171606.18,+,81.0625
4887,chr1,211675630,NEK2,ENSG00000117650.13,-,81.0625
23495,chr8,134712962,ZFAT,ENSG00000066827.16,-,81.125
27686,chr11,2377309,CD81,ENSG00000110651.13,+,81.125
10943,chr3,52056571,DUSP7,ENSG00000164086.10,-,81.125
34561,chr13,41132802,KBTBD6,ENSG00000165572.8,-,81.125
19336,chr7,24573414,PALS2,ENSG00000105926.16,+,81.1875
51821,chrX,48696733,SUV39H1,ENSG00000101945.17,+,81.1875
23605,chr8,144462871,ZFTRAF1,ENSG00000187954.14,-,81.1875
47840,chr19,43935282,ZNF45,ENSG00000124459.12,-,81.1875
33644,chr12,103841234,NT5DC3,ENSG00000111696.12,-,81.1875
48227,chr19,52962823,ZNF816-ZNF321P,ENSG00000221874.4,-,81.1875
5427,chr2,38666116,GALM,ENSG00000143891.17,+,81.1875
24988,chr9,81689547,TLE1,ENSG00000196781.16,-,81.1875
33498,chr12,79690964,PAWR,ENSG00000177425.11,-,81.25
17973,chr6,13487662,GFOD1,ENSG00000145990.11,-,81.25
26289,chr10,95907964,CC2D2B,ENSG00000188649.16,+,81.25
47345,chr19,17303425,ABHD8,ENSG00000127220.6,-,81.25
7765,chr2,100417668,CHST10,ENSG00000115526.11,-,81.25
9388,chr3,52287834,GLYCTK,ENSG00000168237.18,+,81.3125
5143,chr1,248825915,SH3BP5L,ENSG00000175137.11,-,81.3125
26716,chr10,7410973,SFMBT2,ENSG00000198879.13,-,81.3125
45050,chr19,7535716,PNPLA6,ENSG00000032444.17,+,81.375
50754,chr22,38982346,APOBEC3B,ENSG00000179750.16,+,81.375
41160,chr17,32007382,LRRC37B,ENSG00000185158.13,+,81.375
41563,chr17,47831669,LRRC46,ENSG00000141294.10,+,81.375
3077,chr1,16613487,NBPF1,ENSG00000219481.11,-,81.375
8019,chr2,159616548,BAZ2B,ENSG00000123636.19,-,81.4375
9350,chr3,50674926,DOCK3,ENSG00000088538.13,+,81.4375
49344,chr20,4015545,RNF24,ENSG00000101236.17,-,81.5
43769,chr17,80035872,TBC1D16,ENSG00000167291.16,-,81.5
29117,chr11,113314582,TTC12,ENSG00000149292.17,+,81.5
5777,chr2,86720290,RMND5A,ENSG00000153561.13,+,81.5
53285,chrX,101052054,TRMT2B,ENSG00000188917.15,-,81.5
23051,chr8,58659853,NSMAF,ENSG00000035681.9,-,81.5625
13752,chr4,112636909,ZGRF1,ENSG00000138658.16,-,81.5625
18193,chr6,32530287,HLA-DRB5,ENSG00000198502.6,-,81.625
19076,chr6,159044991,TAGAP,ENSG00000164691.18,-,81.625
44933,chr19,3572943,HMG20B,ENSG00000064961.19,+,81.625
26341,chr10,99659508,ENTPD7,ENSG00000198018.7,+,81.625
44308,chr18,63970080,SERPINB8,ENSG00000166401.15,+,81.6875
26958,chr10,49188400,TMEM273,ENSG00000204161.15,-,81.6875
34751,chr13,100674879,TMTC4,ENSG00000125247.16,-,81.6875
45283,chr19,13795442,ZSWIM4,ENSG00000132003.10,+,81.6875
18520,chr6,57222307,RAB23,ENSG00000112210.12,-,81.75
43724,chr17,76711004,MXRA7,ENSG00000182534.14,-,81.75
40379,chr16,67666750,ENKD1,ENSG00000124074.12,-,81.8125
48414,chr19,57916591,ENSG00000269476,ENSG00000269476.1,-,81.875
18779,chr6,110179670,WASF1,ENSG00000112290.13,-,81.875
46755,chr19,58467079,ZNF324,ENSG00000083812.13,+,81.875
18050,chr6,26659752,ZNF322,ENSG00000181315.11,-,81.875
40949,chr17,14301080,HS3ST3B1,ENSG00000125430.9,+,81.875
11379,chr3,127590733,TPRA1,ENSG00000163870.16,-,81.9375
29451,chr11,796263,SLC25A22,ENSG00000177542.11,-,81.9375
7767,chr2,101151382,TBC1D8,ENSG00000204634.13,-,81.9375
38369,chr16,715117,METRN,ENSG00000103260.9,+,82.0
48398,chr19,57559812,ZNF550,ENSG00000251369.10,-,82.0
3928,chr1,109283186,PSRC1,ENSG00000134222.16,-,82.0
36639,chr14,105181312,NUDT14,ENSG00000183828.15,-,82.0
10982,chr3,53046073,SFMBT1,ENSG00000163935.14,-,82.125
30693,chr11,95231202,SESN3,ENSG00000149212.12,-,82.125
5968,chr2,112275596,ZC3H6,ENSG00000188177.15,+,82.125
48586,chr20,10035048,ANKEF1,ENSG00000132623.16,+,82.1875
53829,chrY,21894439,RBMY1D,ENSG00000244395.6,-,82.1875
44358,chr18,80109261,ADNP2,ENSG00000101544.9,+,82.1875
39571,chr16,85613321,GSE1,ENSG00000131149.19,+,82.25
14133,chr5,612339,CEP72,ENSG00000112877.8,+,82.25
48057,chr19,49813292,FUZ,ENSG00000010361.14,-,82.25
34304,chr13,102799109,BIVM-ERCC5,ENSG00000270181.3,+,82.25
42590,chr17,11997475,ZNF18,ENSG00000154957.14,-,82.3125
47422,chr19,19320509,SUGP1,ENSG00000105705.16,-,82.3125
22148,chr8,60678739,CHD7,ENSG00000171316.14,+,82.3125
25510,chr9,135907546,CAMSAP1,ENSG00000130559.19,-,82.3125
47308,chr19,15464544,RASAL3,ENSG00000105122.13,-,82.375
12163,chr4,15778327,CD38,ENSG00000004468.13,+,82.4375
9105,chr3,40524959,ZNF621,ENSG00000172888.12,+,82.4375
35213,chr14,56118410,PELI2,ENSG00000139946.11,+,82.5
44287,chr18,62325309,TNFRSF11A,ENSG00000141655.18,+,82.5
50744,chr22,38201993,MAFF,ENSG00000185022.12,+,82.5625
20921,chr7,73719631,STX1A,ENSG00000106089.12,-,82.5625
13045,chr4,186191566,CYP4V2,ENSG00000145476.16,+,82.5625
14837,chr5,134905130,PCBD2,ENSG00000132570.15,+,82.5625
47341,chr19,17245919,NR2F6,ENSG00000160113.6,-,82.625
25848,chr10,45374175,ALOX5,ENSG00000012779.12,+,82.625
33103,chr12,49110847,LMBR1L,ENSG00000139636.16,-,82.625
17177,chr6,43076341,PTK7,ENSG00000112655.16,+,82.6875
957,chr1,50968705,CDKN2C,ENSG00000123080.12,+,82.6875
6334,chr2,177212723,HNRNPA3,ENSG00000170144.22,+,82.6875
40897,chr17,7858002,CYB5D1,ENSG00000182224.12,+,82.75
37396,chr15,88638952,ISG20,ENSG00000172183.16,+,82.75
7990,chr2,156332762,NR4A2,ENSG00000153234.16,-,82.75
5106,chr1,247078811,ZNF670,ENSG00000277462.2,-,82.75
27108,chr10,73495996,PPP3CB,ENSG00000107758.16,-,82.8125
46081,chr19,44094360,ZNF224,ENSG00000267680.6,+,82.8125
41254,chr17,38351843,SOCS7,ENSG00000274211.6,+,82.8125
49897,chr21,33642482,ITSN1,ENSG00000205726.15,+,82.875
21069,chr7,94656207,SGCE,ENSG00000127990.19,-,82.875
21331,chr7,112206399,DOCK4,ENSG00000128512.24,-,82.875
22869,chr8,27311272,TRIM35,ENSG00000104228.13,-,82.9375
45115,chr19,8832376,MBD3L1,ENSG00000170948.4,+,82.9375
3420,chr1,37859592,MTF1,ENSG00000188786.10,-,82.9375
24001,chr9,89605011,GADD45G,ENSG00000130222.11,+,82.9375
28102,chr11,46345402,DGKZ,ENSG00000149091.15,+,83.0
12598,chr4,99564080,MTTP,ENSG00000138823.14,+,83.0
15574,chr5,38556646,LIFR,ENSG00000113594.10,-,83.0625
15127,chr5,151447602,SLC36A1,ENSG00000123643.14,+,83.125
5403,chr2,36355777,CRIM1,ENSG00000150938.10,+,83.125
50863,chr22,44181738,PARVG,ENSG00000138964.17,+,83.1875
37676,chr15,42920778,TTBK2,ENSG00000128881.18,-,83.1875
26403,chr10,102743947,WBP1L,ENSG00000166272.18,+,83.1875
10906,chr3,50345732,ZMYND10,ENSG00000004838.14,-,83.25
8942,chr3,16884954,PLCL2,ENSG00000154822.18,+,83.25
49807,chr20,63969930,ZNF512B,ENSG00000196700.9,-,83.25
1040,chr1,61082620,NFIA,ENSG00000162599.18,+,83.3125
4634,chr1,173824322,CENPL,ENSG00000120334.16,-,83.3125
19271,chr7,12686855,ARL4A,ENSG00000122644.13,+,83.3125
45637,chr19,34734242,ZNF181,ENSG00000197841.15,+,83.3125
13659,chr4,99564039,TRMT10A,ENSG00000145331.14,-,83.375
5946,chr2,109614363,SOWAHC,ENSG00000198142.5,+,83.375
4095,chr1,145964575,ANKRD34A,ENSG00000272031.3,-,83.375
19613,chr7,69598474,AUTS2,ENSG00000158321.19,+,83.4375
30346,chr11,66568575,CTSF,ENSG00000174080.12,-,83.5
43786,chr17,81239055,TEPSIN,ENSG00000167302.11,-,83.5
46458,chr19,53333748,ZNF845,ENSG00000213799.13,+,83.5
24921,chr9,38069227,SHB,ENSG00000107338.10,-,83.5
28531,chr11,65041209,SAC3D1,ENSG00000168061.17,+,83.5625
18038,chr6,26189112,H4C4,ENSG00000277157.2,-,83.5625
36787,chr15,40470983,CHST14,ENSG00000169105.8,+,83.5625
43899,chr17,83051770,B3GNTL1,ENSG00000175711.9,-,83.625
30447,chr11,72080389,NUMA1,ENSG00000137497.19,-,83.625
27257,chr10,97334729,FRAT2,ENSG00000181274.7,-,83.625
5825,chr2,96760901,CNNM4,ENSG00000158158.12,+,83.625
46599,chr19,55600287,ZNF524,ENSG00000171443.7,+,83.6875
9162,chr3,42936385,KRBOX1,ENSG00000240747.9,+,83.6875
47861,chr19,45076478,ZNF296,ENSG00000170684.10,-,83.6875
7644,chr2,85602698,TMEM150A,ENSG00000168890.14,-,83.75
9157,chr3,42936391,ENSG00000273291,ENSG00000273291.5,+,83.8125
16690,chr6,25279373,CARMIL1,ENSG00000079691.19,+,83.8125
46443,chr19,52397848,ZNF528,ENSG00000167555.14,+,83.875
52943,chrX,48003978,ZNF182,ENSG00000147118.12,-,83.875
41632,chr17,50426218,ACSF2,ENSG00000167107.13,+,83.875
36836,chr15,41828101,JMJD7,ENSG00000243789.11,+,83.875
4814,chr1,204494805,PIK3C2B,ENSG00000133056.14,-,83.875
26711,chr10,6062290,IL2RA,ENSG00000134460.19,-,83.9375
7839,chr2,120223400,TMEM185B,ENSG00000226479.4,-,83.9375
8403,chr2,210171409,KANSL1L,ENSG00000144445.17,-,83.9375
33122,chr12,49843106,BCDIN3D,ENSG00000186666.6,-,84.0
1947,chr1,159780931,DUSP23,ENSG00000158716.9,+,84.0625
35178,chr14,52314304,PTGER2,ENSG00000125384.7,+,84.125
17015,chr6,33204654,HSD17B8,ENSG00000204228.4,+,84.125
31255,chr12,8032715,FOXJ2,ENSG00000065970.9,+,84.1875
5559,chr2,61905673,COMMD1,ENSG00000173163.11,+,84.1875
23581,chr8,143840973,NRBP2,ENSG00000185189.18,-,84.1875
47954,chr19,47484219,KPTN,ENSG00000118162.14,-,84.1875
12230,chr4,37891098,TBC1D1,ENSG00000065882.18,+,84.1875
3503,chr1,44674459,TMEM53,ENSG00000126106.14,-,84.25
42765,chr17,28902965,DHRS13,ENSG00000167536.14,-,84.25
3818,chr1,91886151,TGFBR3,ENSG00000069702.11,-,84.25
30476,chr11,72781842,STARD10,ENSG00000214530.10,-,84.25
19193,chr7,2519773,LFNG,ENSG00000106003.14,+,84.3125
2048,chr1,162561721,UAP1,ENSG00000117143.14,+,84.375
19061,chr6,157323519,TMEM242,ENSG00000215712.11,-,84.375
24281,chr9,127424373,ZNF79,ENSG00000196152.10,+,84.375
3458,chr1,40862363,CITED4,ENSG00000179862.7,-,84.375
39842,chr16,3611606,SLX4,ENSG00000188827.12,-,84.4375
9988,chr3,138609071,FAIM,ENSG00000158234.13,+,84.4375
32693,chr12,7109210,C1RL,ENSG00000139178.12,-,84.4375
12108,chr4,8199289,SH3TC1,ENSG00000125089.18,+,84.5
8438,chr2,216081809,PECR,ENSG00000115425.14,-,84.5
4605,chr1,169485944,SLC19A2,ENSG00000117479.15,-,84.5
31178,chr12,6452071,TAPBPL,ENSG00000139192.12,+,84.5
40160,chr16,30534852,ENSG00000261459,ENSG00000261459.1,-,84.5625
34983,chr14,24172079,REC8,ENSG00000100918.14,+,84.5625
26321,chr10,97498923,UBTD1,ENSG00000165886.5,+,84.5625
47591,chr19,37210484,ZNF585B,ENSG00000245680.11,-,84.5625
11967,chr4,53320,ZNF595,ENSG00000272602.6,+,84.5625
21133,chr7,99438798,PTCD1,ENSG00000106246.18,-,84.625
18065,chr6,27873534,H4C13,ENSG00000275126.2,-,84.625
27564,chr10,133358019,FUOM,ENSG00000148803.12,-,84.6875
21768,chr8,15540262,TUSC3,ENSG00000104723.21,+,84.6875
52763,chrX,14873057,FANCB,ENSG00000181544.16,-,84.6875
47687,chr19,40090938,ZNF780A,ENSG00000197782.15,-,84.6875
21227,chr7,102478922,POLR2J,ENSG00000005075.16,-,84.6875
483,chr1,26111836,PDIK1L,ENSG00000175087.10,+,84.75
18033,chr6,26043713,H2BC3,ENSG00000276410.4,-,84.75
31020,chr11,125903221,PUS3,ENSG00000110060.9,-,84.8125
20254,chr7,139231236,UBN2,ENSG00000157741.15,+,84.8125
5821,chr2,96536751,ARID5A,ENSG00000196843.17,+,84.8125
1384,chr1,109483938,ATXN7L2,ENSG00000162650.17,+,84.8125
10370,chr3,194685882,FAM43A,ENSG00000185112.6,+,84.875
1973,chr1,160739267,SLAMF7,ENSG00000026751.17,+,84.875
2538,chr1,212858274,FLVCR1,ENSG00000162769.13,+,84.875
18454,chr6,47309905,TNFRSF21,ENSG00000146072.6,-,84.9375
41942,chr17,75047224,KCTD2,ENSG00000180901.11,+,84.9375
11727,chr3,171810483,PLD1,ENSG00000075651.17,-,84.9375
13696,chr4,103019719,SLC9B1,ENSG00000164037.17,-,84.9375
337,chr1,19312325,SLC66A1,ENSG00000040487.13,+,84.9375
31880,chr12,57089093,NAB2,ENSG00000166886.13,+,85.0
24864,chr9,35079942,FANCG,ENSG00000221829.11,-,85.0
30226,chr11,64166113,MACROD1,ENSG00000133315.12,-,85.0
26581,chr10,123008978,ACADSB,ENSG00000196177.13,+,85.0
47856,chr19,44500522,ZNF180,ENSG00000167384.11,-,85.0625
46183,chr19,45995466,CCDC61,ENSG00000104983.8,+,85.0625
39729,chr16,1414691,UNKL,ENSG00000059145.19,-,85.125
30800,chr11,111379275,POU2AF1,ENSG00000110777.12,-,85.125
13676,chr4,102345139,SLC39A8,ENSG00000138821.14,-,85.125
20411,chr7,150685726,GIMAP2,ENSG00000106560.11,+,85.125
28401,chr11,62337452,ASRGL1,ENSG00000162174.12,+,85.1875
16916,chr6,31575564,TNF,ENSG00000232810.5,+,85.1875
6824,chr2,231198704,ARMC9,ENSG00000135931.19,+,85.25
39234,chr16,58392393,GINS3,ENSG00000181938.14,+,85.25
37874,chr15,59372871,MYO1E,ENSG00000157483.9,-,85.25
42949,chr17,40565472,CCR7,ENSG00000126353.3,-,85.25
28294,chr11,59755451,STX3,ENSG00000166900.17,+,85.25
43537,chr17,64919468,LRRC37A3,ENSG00000176809.11,-,85.25
42868,chr17,36090143,CCL3,ENSG00000277632.2,-,85.25
41795,chr17,62966234,TANC2,ENSG00000170921.16,+,85.3125
23733,chr9,20684258,FOCAD,ENSG00000188352.13,+,85.3125
3196,chr1,24413725,STPG1,ENSG00000001460.18,-,85.3125
27888,chr11,14643803,PDE3B,ENSG00000152270.9,+,85.3125
42442,chr17,7217609,DLG4,ENSG00000132535.22,-,85.375
645,chr1,32251264,LCK,ENSG00000182866.18,+,85.375
7152,chr2,24972094,DNAJC27,ENSG00000115137.12,-,85.375
33252,chr12,54419266,ITGA5,ENSG00000161638.11,-,85.375
45865,chr19,38403153,FAM98C,ENSG00000130244.13,+,85.375
39652,chr16,89721006,ZNF276,ENSG00000158805.12,+,85.4375
36832,chr15,41774523,MAPKBP1,ENSG00000137802.14,+,85.4375
37277,chr15,76995125,PSTPIP1,ENSG00000140368.14,+,85.4375
16359,chr5,159208132,RNF145,ENSG00000145860.13,-,85.5
34564,chr13,41263484,MTRF1,ENSG00000120662.16,-,85.5
35130,chr14,44962189,TOGARAM1,ENSG00000198718.13,+,85.5
14863,chr5,138338265,FAM53C,ENSG00000120709.11,+,85.5
18074,chr6,28399734,ZSCAN12,ENSG00000158691.15,-,85.5
53745,chrY,6910685,TBL1Y,ENSG00000092377.15,+,85.5
18593,chr6,81752681,TENT5A,ENSG00000112773.16,-,85.5
38337,chr16,401857,DECR2,ENSG00000242612.7,+,85.5625
25539,chr9,136545997,NOTCH1,ENSG00000148400.13,-,85.5625
36656,chr15,22786643,NIPA1,ENSG00000170113.16,+,85.5625
35134,chr14,45135931,FANCM,ENSG00000187790.12,+,85.5625
42533,chr17,8295400,SLC25A35,ENSG00000125434.11,-,85.625
3816,chr1,91022272,ZNF644,ENSG00000122482.22,-,85.625
13703,chr4,103198445,CENPE,ENSG00000138778.14,-,85.6875
17055,chr6,35259773,ZNF76,ENSG00000065029.15,+,85.6875
44539,chr18,46072257,PSTPIP2,ENSG00000152229.18,-,85.6875
27157,chr10,79445624,ZCCHC24,ENSG00000165424.7,-,85.75
33892,chr12,122975205,ABCB9,ENSG00000150967.19,-,85.75
14907,chr5,140547661,EIF4EBP3,ENSG00000243056.2,+,85.75
40396,chr16,67968637,SLC12A4,ENSG00000124067.17,-,85.8125
41143,chr17,30831965,ATAD5,ENSG00000176208.9,+,85.875
41246,chr17,37489890,DUSP14,ENSG00000276023.5,+,85.9375
45508,chr19,19900927,ZNF93,ENSG00000184635.17,+,85.9375
38386,chr16,788624,CHTF18,ENSG00000127586.17,+,85.9375
21181,chr7,100428679,ZCWPW1,ENSG00000078487.18,-,86.0
42682,chr17,19046997,GRAP,ENSG00000154016.14,-,86.0
18414,chr6,43369647,ZNF318,ENSG00000171467.16,-,86.0
25381,chr9,128127729,PTGES2,ENSG00000148334.16,-,86.0
34101,chr13,41061508,WBP4,ENSG00000120688.9,+,86.0
554,chr1,27872548,THEMIS2,ENSG00000130775.16,+,86.0
51445,chr22,50530012,TYMP,ENSG00000025708.14,-,86.0
4284,chr1,153946718,DENND4B,ENSG00000198837.10,-,86.0625
41310,chr17,40062964,THRA,ENSG00000126351.13,+,86.0625
46316,chr19,49513254,FCGRT,ENSG00000104870.13,+,86.0625
22880,chr8,27837817,PBK,ENSG00000168078.10,-,86.125
45304,chr19,14690068,ZNF333,ENSG00000160961.12,+,86.125
4641,chr1,175192776,KIAA0040,ENSG00000235750.10,-,86.125
44630,chr18,55589807,TCF4,ENSG00000196628.20,-,86.125
28584,chr11,65712251,KAT5,ENSG00000172977.13,+,86.125
9391,chr3,52410659,PHF7,ENSG00000010318.22,+,86.1875
1183,chr1,78620448,IFI44L,ENSG00000137959.17,+,86.1875
32985,chr12,42144874,GXYLT1,ENSG00000151233.11,-,86.25
47554,chr19,35908295,TYROBP,ENSG00000011600.12,-,86.25
33069,chr12,48350891,ZNF641,ENSG00000167528.13,-,86.3125
31979,chr12,66189256,IRAK3,ENSG00000090376.11,+,86.3125
22943,chr8,38468622,FGFR1,ENSG00000077782.23,-,86.3125
1801,chr1,155063747,EFNA4-EFNA3,ENSG00000251246.1,+,86.3125
42259,chr17,1485760,MYO1C,ENSG00000197879.17,-,86.3125
42743,chr17,28576885,ALDOC,ENSG00000109107.14,-,86.4375
47401,chr19,18941190,HOMER3,ENSG00000051128.19,-,86.4375
14813,chr5,134525656,JADE2,ENSG00000043143.22,+,86.4375
22935,chr8,38269207,PLPP5,ENSG00000147535.17,-,86.4375
11399,chr3,129121781,RAB43,ENSG00000172780.17,-,86.5
17674,chr6,138404222,HEBP2,ENSG00000051620.11,+,86.5
3178,chr1,23868290,FUCA1,ENSG00000179163.12,-,86.5
24907,chr9,36400872,RNF38,ENSG00000137075.18,-,86.5625
14162,chr5,10441878,ROPN1L,ENSG00000145491.12,+,86.5625
52273,chrX,110002634,TMEM164,ENSG00000157600.12,+,86.5625
46353,chr19,50026039,ZNF473,ENSG00000142528.16,+,86.5625
41492,chr17,45148474,HEXIM1,ENSG00000186834.4,+,86.5625
13349,chr4,57110385,IGFBP7,ENSG00000163453.11,-,86.625
53253,chrX,80809877,BRWD3,ENSG00000165288.11,-,86.625
40162,chr16,30535004,ZNF747,ENSG00000169955.8,-,86.625
23720,chr9,17135039,CNTLN,ENSG00000044459.15,+,86.625
12551,chr4,88007634,PKD2,ENSG00000118762.8,+,86.6875
51201,chr22,36160755,APOL3,ENSG00000128284.20,-,86.6875
5610,chr2,68365281,PLEK,ENSG00000115956.10,+,86.6875
4190,chr1,151006902,MINDY1,ENSG00000143409.17,-,86.6875
32983,chr12,40106081,SLC2A13,ENSG00000151229.13,-,86.6875
49752,chr20,62065881,TAF4,ENSG00000130699.20,-,86.6875
10914,chr3,50567665,C3orf18,ENSG00000088543.15,-,86.75
23527,chr8,142669994,JRK,ENSG00000234616.9,-,86.75
18615,chr6,83431051,ME1,ENSG00000065833.9,-,86.8125
199,chr1,11664199,FBXO6,ENSG00000116663.11,+,86.875
30930,chr11,119030906,SLC37A4,ENSG00000137700.19,-,86.875
9002,chr3,33277441,FBXL2,ENSG00000153558.17,+,86.875
44971,chr19,4909497,UHRF1,ENSG00000276043.5,+,86.875
43621,chr17,74872976,FDXR,ENSG00000161513.12,-,86.875
46899,chr19,4066899,ZBTB7A,ENSG00000178951.9,-,86.875
36134,chr14,49688214,POLE2,ENSG00000100479.14,-,86.9375
47034,chr19,8832304,ZNF558,ENSG00000167785.9,-,86.9375
49219,chr20,63739775,SLC2A4RG,ENSG00000125520.14,+,86.9375
45383,chr19,17337554,GTPBP3,ENSG00000130299.17,+,87.0
47865,chr19,45178237,TRAPPC6A,ENSG00000007255.10,-,87.0
20078,chr7,116499737,CAV2,ENSG00000105971.15,+,87.0
17549,chr6,117675468,NUS1,ENSG00000153989.8,+,87.0
8252,chr2,191150994,STAT4,ENSG00000138378.19,-,87.0
6181,chr2,158456951,PKP4,ENSG00000144283.23,+,87.0
35470,chr14,75428021,JDP2,ENSG00000140044.13,+,87.0625
34051,chr13,31199974,B3GLCT,ENSG00000187676.8,+,87.0625
52116,chrX,78945390,P2RY10,ENSG00000078589.13,+,87.125
24695,chr9,15307209,TTC39B,ENSG00000155158.20,-,87.125
1799,chr1,155063739,EFNA4,ENSG00000243364.8,+,87.1875
41578,chr17,48107765,SNX11,ENSG00000002919.15,+,87.1875
6157,chr2,152335173,FMNL2,ENSG00000157827.20,+,87.1875
47272,chr19,14690027,ADGRE3,ENSG00000131355.15,-,87.1875
9349,chr3,50617169,MAPKAPK3,ENSG00000114738.11,+,87.25
11993,chr4,986996,IDUA,ENSG00000127415.13,+,87.25
22222,chr8,73991425,LY96,ENSG00000154589.7,+,87.25
43681,chr17,75896951,TRIM65,ENSG00000141569.12,-,87.25
53137,chrX,64976533,ZC4H2,ENSG00000126970.17,-,87.25
30362,chr11,66958373,PC,ENSG00000173599.15,-,87.25
46584,chr19,55339875,KMT5C,ENSG00000133247.14,+,87.3125
6241,chr2,169479479,ENSG00000251569,ENSG00000251569.1,+,87.3125
3962,chr1,111200646,DENND2D,ENSG00000162777.17,-,87.3125
38171,chr15,82647977,CPEB1,ENSG00000214575.10,-,87.375
10888,chr3,50299401,HYAL3,ENSG00000186792.17,-,87.4375
5105,chr1,247078736,ZNF670-ZNF695,ENSG00000135747.11,-,87.4375
9060,chr3,38346759,XYLB,ENSG00000093217.11,+,87.5
4997,chr1,229342517,CCSAP,ENSG00000154429.11,-,87.5
11297,chr3,122793831,HSPBAP1,ENSG00000169087.11,-,87.5
4328,chr1,154936719,PMVK,ENSG00000163344.6,-,87.5625
16614,chr6,11537748,TMEM170B,ENSG00000205269.6,+,87.5625
1476,chr1,112674744,MOV10,ENSG00000155363.19,+,87.5625
42804,chr17,32342173,C17orf75,ENSG00000108666.11,-,87.625
2253,chr1,183023419,LAMC1,ENSG00000135862.6,+,87.625
48459,chr20,297569,ZCCHC3,ENSG00000247315.4,+,87.625
47469,chr19,23274221,ENSG00000283201,ENSG00000283201.1,-,87.6875
35429,chr14,73851970,ENSG00000258653,ENSG00000258653.3,+,87.6875
19655,chr7,74289406,CLIP2,ENSG00000106665.16,+,87.6875
13310,chr4,48269838,TEC,ENSG00000135605.13,-,87.6875
46431,chr19,52297178,ZNF480,ENSG00000198464.14,+,87.75
