,Chromosome,Start,gene_name,gene_id,Strand,K562
49412,chr20,23421488,NAPB,ENSG00000125814.17,-,29.867765426635742
21559,chr7,149090782,ZNF786,ENSG00000197362.15,-,29.877622604370117
13664,chr4,99946618,DNAJB14,ENSG00000164031.17,-,29.896137237548828
12298,chr4,48483342,SLC10A4,ENSG00000145248.7,+,29.905305862426758
22464,chr8,124450819,TRMT12,ENSG00000183665.5,+,29.916595458984375
46123,chr19,44891219,TOMM40,ENSG00000130204.13,+,29.939838409423828
13676,chr4,102345139,SLC39A8,ENSG00000138821.14,-,29.95989227294922
2628,chr1,226870599,PSEN2,ENSG00000143801.18,+,29.96234130859375
20386,chr7,149838374,ZNF862,ENSG00000106479.11,+,29.98845672607422
6729,chr2,219544027,TMEM198,ENSG00000188760.11,+,30.033885955810547
19325,chr7,23597441,CCDC126,ENSG00000169193.12,+,30.038793563842773
22465,chr8,124474879,RNF139,ENSG00000170881.5,+,30.047481536865234
46693,chr19,57614241,ZNF134,ENSG00000213762.12,+,30.08419418334961
19171,chr7,1055284,GPR146,ENSG00000164849.10,+,30.084938049316406
1743,chr1,153967901,CREB3L4,ENSG00000143578.16,+,30.09145736694336
11344,chr3,124887365,ITGB5,ENSG00000082781.12,-,30.109167098999023
8999,chr3,32951643,CCR4,ENSG00000183813.7,+,30.112972259521484
37369,chr15,84601017,ZSCAN2,ENSG00000176371.14,+,30.130123138427734
8102,chr2,172102900,DLX2,ENSG00000115844.11,-,30.16042709350586
6360,chr2,178480456,PLEKHA3,ENSG00000116095.11,+,30.179744720458984
17187,chr6,43427540,ABCC10,ENSG00000124574.15,+,30.187171936035156
27072,chr10,71773520,VSIR,ENSG00000107738.20,-,30.197816848754883
53131,chrX,64205708,AMER1,ENSG00000184675.11,-,30.23128890991211
579,chr1,28668777,GMEB1,ENSG00000162419.13,+,30.235076904296875
40168,chr16,30585769,ZNF785,ENSG00000197162.10,-,30.252071380615234
22638,chr8,144518004,LRRC14,ENSG00000160959.8,+,30.265480041503906
4418,chr1,157045742,ARHGEF11,ENSG00000132694.19,-,30.265972137451172
45864,chr19,38403134,FAM98C,ENSG00000130244.13,+,30.26963996887207
46668,chr19,57390007,ENSG00000269533,ENSG00000269533.5,+,30.276655197143555
37361,chr15,83107680,TM6SF1,ENSG00000136404.16,+,30.278928756713867
18065,chr6,27873534,H4C13,ENSG00000275126.2,-,30.285114288330078
50240,chr21,37072900,PIGP,ENSG00000185808.14,-,30.29322052001953
7517,chr2,70302067,FAM136A,ENSG00000035141.9,-,30.310232162475586
11734,chr3,172711067,NCEH1,ENSG00000144959.11,-,30.35401153564453
33616,chr12,100267079,DEPDC4,ENSG00000166153.17,-,30.360363006591797
34424,chr13,21061586,LATS2,ENSG00000150457.9,-,30.370929718017578
37132,chr15,67065602,SMAD3,ENSG00000166949.17,+,30.3721866607666
41033,chr17,19378497,MAPK7,ENSG00000166484.20,+,30.3977108001709
18736,chr6,105180014,POPDC3,ENSG00000132429.10,-,30.407894134521484
7659,chr2,85888910,ST3GAL5,ENSG00000115525.18,-,30.412797927856445
50725,chr22,37805228,H1-0,ENSG00000189060.6,+,30.43011474609375
17280,chr6,53065601,ENSG00000288646,ENSG00000288646.1,+,30.479753494262695
19698,chr7,76397517,ZP3,ENSG00000188372.15,+,30.496967315673828
51537,chrX,10015253,WWC3,ENSG00000047644.20,+,30.522674560546875
20085,chr7,116526276,CAV1,ENSG00000105974.13,+,30.528470993041992
19336,chr7,24573414,PALS2,ENSG00000105926.16,+,30.541099548339844
47822,chr19,43527201,ETHE1,ENSG00000105755.8,-,30.587581634521484
25516,chr9,136118875,TMEM250,ENSG00000238227.8,-,30.606557846069336
25357,chr9,127715663,PTRH1,ENSG00000187024.15,-,30.616981506347656
496,chr1,26410816,LIN28A,ENSG00000131914.11,+,30.632719039916992
25380,chr9,128067320,NAIF1,ENSG00000171169.9,-,30.6424503326416
30870,chr11,117232073,PCSK7,ENSG00000160613.15,-,30.645732879638672
30,chr1,1615904,MIB2,ENSG00000197530.13,+,30.65241241455078
7464,chr2,63588477,WDPCP,ENSG00000143951.16,-,30.67831802368164
26596,chr10,125896563,FANK1,ENSG00000203780.12,+,30.73948860168457
41299,chr17,39927731,LRRC3C,ENSG00000204913.7,+,30.77346420288086
41834,chr17,64449114,MILR1,ENSG00000271605.6,+,30.786266326904297
48416,chr19,57916591,ZNF417,ENSG00000173480.11,-,30.78842544555664
21671,chr8,1763887,KBTBD11-OT1,ENSG00000283239.1,+,30.793066024780273
10173,chr3,170037994,GPR160,ENSG00000173890.17,+,30.80355453491211
48414,chr19,57916591,ENSG00000269476,ENSG00000269476.1,-,30.804758071899414
6125,chr2,142877665,KYNU,ENSG00000115919.15,+,30.818328857421875
47719,chr19,41353922,TGFB1,ENSG00000105329.11,-,30.83192253112793
28593,chr11,65890672,CCDC85B,ENSG00000175602.4,+,30.852569580078125
41127,chr17,29568700,TP53I13,ENSG00000167543.16,+,30.857696533203125
49162,chr20,62143768,SS18L1,ENSG00000184402.15,+,30.864994049072266
43722,chr17,76710955,MXRA7,ENSG00000182534.14,-,30.89652442932129
39656,chr16,89828546,SPIRE2,ENSG00000204991.11,+,30.89803695678711
19852,chr7,99438942,CPSF4,ENSG00000160917.15,+,30.908756256103516
46671,chr19,57411178,ZNF17,ENSG00000186272.13,+,30.911916732788086
1535,chr1,120723944,NOTCH2NLR,ENSG00000286106.3,+,30.91786003112793
21201,chr7,100895920,ACHE,ENSG00000087085.16,-,30.919574737548828
33069,chr12,48350891,ZNF641,ENSG00000167528.13,-,30.9197998046875
41310,chr17,40062964,THRA,ENSG00000126351.13,+,30.920907974243164
44440,chr18,23586506,NPC1,ENSG00000141458.13,-,30.936031341552734
9813,chr3,127672951,ABTB1,ENSG00000114626.18,+,30.938838958740234
31892,chr12,57455306,INHBE,ENSG00000139269.3,+,30.93994903564453
41128,chr17,29593131,ANKRD13B,ENSG00000198720.13,+,30.969772338867188
42135,chr17,81712283,SLC25A10,ENSG00000183048.12,+,31.050537109375
36886,chr15,43517607,MAP1A,ENSG00000166963.13,+,31.062301635742188
47085,chr19,10231331,S1PR2,ENSG00000267534.4,-,31.085857391357422
9651,chr3,108589721,DZIP3,ENSG00000198919.13,+,31.10735511779785
23495,chr8,134712962,ZFAT,ENSG00000066827.16,-,31.11078453063965
14268,chr5,42756817,CCDC152,ENSG00000198865.10,+,31.14716148376465
45522,chr19,21020656,ZNF430,ENSG00000118620.13,+,31.15030288696289
25931,chr10,61901698,ARID5B,ENSG00000150347.17,+,31.158794403076172
1513,chr1,116909915,PTGFRN,ENSG00000134247.10,+,31.191768646240234
32950,chr12,30754899,CAPRIN2,ENSG00000110888.19,-,31.208084106445312
37478,chr15,98648538,IGF1R,ENSG00000140443.15,+,31.230758666992188
14549,chr5,79236130,JMY,ENSG00000152409.9,+,31.28761100769043
10176,chr3,170357714,SKIL,ENSG00000136603.15,+,31.294031143188477
26818,chr10,27240784,ACBD5,ENSG00000107897.20,-,31.322887420654297
35470,chr14,75428021,JDP2,ENSG00000140044.13,+,31.334705352783203
51753,chrX,43654906,MAOA,ENSG00000189221.11,+,31.387910842895508
49863,chr21,32298854,MRAP,ENSG00000170262.13,+,31.42599105834961
10904,chr3,50340936,RASSF1,ENSG00000068028.18,-,31.429372787475586
30388,chr11,67629930,NUDT8,ENSG00000167799.10,-,31.43329620361328
42507,chr17,8152404,PER1,ENSG00000179094.16,-,31.436649322509766
17729,chr6,149317711,TAB2,ENSG00000055208.20,+,31.440547943115234
26606,chr10,129467240,MGMT,ENSG00000170430.10,+,31.444190979003906
4602,chr1,169367797,NME7,ENSG00000143156.14,-,31.468833923339844
30640,chr11,86955395,FZD4,ENSG00000174804.4,-,31.494091033935547
47698,chr19,40285342,AKT2,ENSG00000105221.18,-,31.5057373046875
1215,chr1,84506385,SPATA1,ENSG00000122432.19,+,31.50603485107422
41395,chr17,42659283,TUBG2,ENSG00000037042.9,+,31.554136276245117
19962,chr7,101085480,TRIM56,ENSG00000169871.13,+,31.579387664794922
50264,chr21,39445777,LCA5L,ENSG00000157578.14,-,31.62606430053711
35813,chr14,104865267,CEP170B,ENSG00000099814.17,+,31.64430809020996
36643,chr14,105300992,BRF1,ENSG00000185024.18,-,31.650440216064453
40977,chr17,17303372,NT5M,ENSG00000205309.14,+,31.660364151000977
17169,chr6,43059630,KLC4,ENSG00000137171.15,+,31.690258026123047
16496,chr5,179907897,TBC1D9B,ENSG00000197226.13,-,31.69283676147461
12490,chr4,77157206,CCNG2,ENSG00000138764.15,+,31.701034545898438
36633,chr14,105021060,CDCA4,ENSG00000170779.11,-,31.706117630004883
46223,chr19,47778676,SELENOW,ENSG00000178980.16,+,31.71000862121582
20205,chr7,130486341,MEST,ENSG00000106484.16,+,31.712236404418945
50623,chr22,31081318,SMTN,ENSG00000183963.19,+,31.730318069458008
40162,chr16,30535004,ZNF747,ENSG00000169955.8,-,31.746734619140625
40897,chr17,7858002,CYB5D1,ENSG00000182224.12,+,31.824565887451172
47444,chr19,20565781,ZNF737,ENSG00000237440.9,-,31.825016021728516
24323,chr9,128203470,DNM1,ENSG00000106976.22,+,31.827510833740234
24921,chr9,38069227,SHB,ENSG00000107338.10,-,31.83591079711914
17904,chr6,3227653,TUBB2B,ENSG00000137285.11,-,31.83939552307129
43093,chr17,42745049,EZH1,ENSG00000108799.13,-,31.850292205810547
1357,chr1,108560088,EEIG2,ENSG00000162636.16,+,31.856103897094727
49539,chr20,37095997,RBL1,ENSG00000080839.12,-,31.8765869140625
32567,chr12,133080881,ZNF140,ENSG00000196387.10,+,31.901485443115234
35250,chr14,60091910,PCNX4,ENSG00000126773.13,+,31.949260711669922
41795,chr17,62966234,TANC2,ENSG00000170921.16,+,31.964969635009766
37014,chr15,56365426,TEX9,ENSG00000151575.15,+,32.00278091430664
29547,chr11,4393702,TRIM21,ENSG00000132109.10,-,32.01913833618164
7144,chr2,24084834,TP53I3,ENSG00000115129.14,-,32.03895568847656
23791,chr9,34989803,DNAJB5,ENSG00000137094.16,+,32.045372009277344
28863,chr11,75815209,UVRAG,ENSG00000198382.9,+,32.07542419433594
38157,chr15,82046119,MEX3B,ENSG00000183496.6,-,32.08803176879883
8118,chr2,174634587,WIPF1,ENSG00000115935.19,-,32.11418533325195
32266,chr12,109052575,USP30,ENSG00000135093.13,+,32.123958587646484
50909,chr22,49853843,ZBED4,ENSG00000100426.7,+,32.13402557373047
18339,chr6,39934551,MOCS1,ENSG00000124615.20,-,32.13857650756836
49578,chr20,44651745,ADA,ENSG00000196839.14,-,32.147708892822266
42162,chr17,82023304,LRRC45,ENSG00000169683.8,+,32.18510818481445
28869,chr11,76381315,GVQW3,ENSG00000179240.13,+,32.195213317871094
32823,chr12,14567883,PLBD1,ENSG00000121316.11,-,32.2066535949707
40379,chr16,67666750,ENKD1,ENSG00000124074.12,-,32.22781753540039
45506,chr19,19865881,ZNF253,ENSG00000256771.5,+,32.233299255371094
45905,chr19,39412668,PLEKHG2,ENSG00000090924.15,+,32.24900436401367
34809,chr13,113864076,GAS6,ENSG00000183087.15,-,32.259361267089844
27119,chr10,73811598,NDST2,ENSG00000166507.19,-,32.28923416137695
44427,chr18,14132428,ZNF519,ENSG00000175322.12,-,32.293785095214844
13015,chr4,183505057,ING2,ENSG00000168556.7,+,32.32979965209961
32113,chr12,93677398,CRADD,ENSG00000169372.13,+,32.333740234375
31445,chr12,27524181,PPFIBP1,ENSG00000110841.14,+,32.36204528808594
12657,chr4,109433771,SEC24B,ENSG00000138802.11,+,32.378692626953125
51670,chrX,24465285,PDK3,ENSG00000067992.17,+,32.43250274658203
11351,chr3,125375325,ZNF148,ENSG00000163848.21,-,32.43330383300781
24027,chr9,94030793,PTPDC1,ENSG00000158079.16,+,32.449790954589844
29548,chr11,4608231,TRIM68,ENSG00000167333.13,-,32.451805114746094
26583,chr10,123135969,HMX3,ENSG00000188620.11,+,32.45574951171875
10027,chr3,142724033,TRPC1,ENSG00000144935.17,+,32.49279022216797
45813,chr19,37218213,ZNF383,ENSG00000188283.12,+,32.494300842285156
33122,chr12,49843106,BCDIN3D,ENSG00000186666.6,-,32.52534866333008
24103,chr9,104764128,NIPSNAP3B,ENSG00000165028.12,+,32.53430938720703
24997,chr9,83921432,KIF27,ENSG00000165115.15,-,32.55382537841797
33967,chr13,19958782,ZMYM2,ENSG00000121741.17,+,32.57402801513672
37493,chr15,100602588,ASB7,ENSG00000183475.13,+,32.60592269897461
1763,chr1,154321119,AQP10,ENSG00000143595.13,+,32.63423156738281
44197,chr18,48539030,CTIF,ENSG00000134030.14,+,32.645652770996094
20720,chr7,33109404,RP9,ENSG00000164610.10,-,32.66134262084961
5252,chr2,23940462,UBXN2A,ENSG00000173960.14,+,32.66255187988281
18071,chr6,28336134,ZSCAN31,ENSG00000235109.8,-,32.66619873046875
46678,chr19,57487770,ZNF419,ENSG00000105136.22,+,32.6676025390625
3700,chr1,66924856,DNAI4,ENSG00000152763.17,-,32.72311019897461
50924,chr22,50201010,SELENOO,ENSG00000073169.15,+,32.76789855957031
18957,chr6,136792477,MAP3K5,ENSG00000197442.11,-,32.790035247802734
27722,chr11,3855663,STIM1,ENSG00000167323.13,+,32.79684829711914
49338,chr20,3767728,ADISSP,ENSG00000101220.18,-,32.81989669799805
35325,chr14,67241341,PALS1,ENSG00000072415.10,+,32.84394073486328
25551,chr9,136944738,FBXW5,ENSG00000159069.14,-,32.846214294433594
39111,chr16,50742073,CYLD,ENSG00000083799.18,+,32.85562515258789
13310,chr4,48269838,TEC,ENSG00000135605.13,-,32.869144439697266
42904,chr17,38799556,PIP4K2B,ENSG00000276293.5,-,32.89431381225586
37110,chr15,65611404,SLC24A1,ENSG00000074621.14,+,32.90923309326172
52865,chrX,31072041,FTHL17,ENSG00000132446.7,-,32.937320709228516
16764,chr6,28124608,ZSCAN16,ENSG00000196812.6,+,32.94807434082031
52244,chrX,106802812,TBC1D8B,ENSG00000133138.20,+,32.952598571777344
19568,chr7,64045433,ZNF727,ENSG00000214652.6,+,32.961116790771484
28073,chr11,44066269,ACCS,ENSG00000110455.14,+,33.02826690673828
46657,chr19,57320471,ZNF543,ENSG00000178229.8,+,33.043514251708984
36878,chr15,43133585,TMEM62,ENSG00000137842.7,+,33.043514251708984
46634,chr19,56507854,ZNF471,ENSG00000196263.8,+,33.05036163330078
3557,chr1,46668427,ATPAF1,ENSG00000123472.13,-,33.053306579589844
48307,chr19,55117637,PPP1R12C,ENSG00000125503.13,-,33.06439208984375
36842,chr15,42273657,GANC,ENSG00000214013.10,+,33.07526397705078
543,chr1,27392621,GPR3,ENSG00000181773.7,+,33.08924865722656
37682,chr15,43221018,EPB42,ENSG00000166947.15,-,33.09672927856445
43968,chr18,9885972,TXNDC2,ENSG00000168454.13,+,33.10017013549805
4834,chr1,205775449,RAB29,ENSG00000117280.13,-,33.138397216796875
29167,chr11,117327853,CEP164,ENSG00000110274.16,+,33.159793853759766
49349,chr20,5001510,SLC23A2,ENSG00000089057.15,-,33.186676025390625
28537,chr11,65111871,TM7SF2,ENSG00000149809.17,+,33.18669128417969
45044,chr19,7516102,ZNF358,ENSG00000198816.7,+,33.19416809082031
17521,chr6,113857344,MARCKS,ENSG00000277443.3,+,33.20071792602539
3171,chr1,23484179,ASAP3,ENSG00000088280.20,-,33.205543518066406
35294,chr14,64540740,HSPA2,ENSG00000126803.10,+,33.212284088134766
44951,chr19,4182688,ANKRD24,ENSG00000089847.13,+,33.23810958862305
37344,chr15,81000922,TLNRD1,ENSG00000140406.4,+,33.23967361450195
20500,chr7,1138257,C7orf50,ENSG00000146540.15,-,33.24119567871094
46666,chr19,57389874,ZNF548,ENSG00000188785.12,+,33.259281158447266
9367,chr3,51942344,PARP3,ENSG00000041880.15,+,33.29327392578125
11807,chr3,184378207,THPO,ENSG00000090534.20,-,33.322628021240234
1397,chr1,109619836,AMPD2,ENSG00000116337.20,+,33.33298110961914
16293,chr5,150904983,ZNF300,ENSG00000145908.14,-,33.338905334472656
24780,chr9,32552586,TOPORS,ENSG00000197579.8,-,33.34369659423828
27853,chr11,9664076,SWAP70,ENSG00000133789.15,+,33.3674430847168
52354,chrX,123859711,XIAP,ENSG00000101966.14,+,33.375362396240234
52942,chrX,48003989,ZNF182,ENSG00000147118.12,-,33.40565490722656
41496,chr17,45161916,HEXIM2,ENSG00000168517.11,+,33.411094665527344
49153,chr20,59940388,FAM217B,ENSG00000196227.11,+,33.41693115234375
25399,chr9,128881931,ENSG00000286112,ENSG00000286112.1,-,33.4251823425293
19754,chr7,87345692,CROT,ENSG00000005469.12,+,33.441184997558594
4691,chr1,184037729,COLGALT2,ENSG00000198756.12,-,33.464847564697266
40596,chr16,87493024,ZCCHC14,ENSG00000140948.13,-,33.522247314453125
24912,chr9,37465450,ZBTB5,ENSG00000168795.5,-,33.52293395996094
36181,chr14,52951018,FERMT2,ENSG00000073712.15,-,33.56367874145508
26518,chr10,114821779,FHIP2A,ENSG00000151553.16,+,33.57608413696289
46077,chr19,44025353,ENSG00000267022,ENSG00000267022.1,+,33.62764358520508
30516,chr11,75096876,OR2AT4,ENSG00000171561.4,-,33.63438034057617
45509,chr19,19900945,ZNF93,ENSG00000184635.17,+,33.66538619995117
33959,chr12,132956306,ZNF605,ENSG00000196458.11,-,33.666202545166016
47957,chr19,47573148,ZNF541,ENSG00000118156.13,-,33.68418502807617
31506,chr12,39626182,C12orf40,ENSG00000180116.15,+,33.71340560913086
47167,chr19,12365683,ZNF442,ENSG00000198342.10,-,33.720375061035156
43260,chr17,47821794,OSBPL7,ENSG00000006025.13,-,33.76130294799805
30471,chr11,72752408,ARAP1,ENSG00000186635.16,-,33.830970764160156
47710,chr19,40690553,NUMBL,ENSG00000105245.9,-,33.85253143310547
6768,chr2,227472155,AGFG1,ENSG00000173744.18,+,33.88371658325195
47840,chr19,43935282,ZNF45,ENSG00000124459.12,-,33.88579177856445
30189,chr11,62754184,ZBTB3,ENSG00000185670.9,-,33.897666931152344
5210,chr2,11155371,SLC66A3,ENSG00000162976.13,+,33.92109298706055
47479,chr19,23758891,ZNF681,ENSG00000196172.9,-,33.951438903808594
32289,chr12,110124334,IFT81,ENSG00000122970.16,+,33.95164489746094
46755,chr19,58467079,ZNF324,ENSG00000083812.13,+,33.95998001098633
52342,chrX,120158612,RHOXF2,ENSG00000131721.6,+,33.96031951904297
1275,chr1,94418388,ABCD3,ENSG00000117528.14,+,33.983489990234375
41385,chr17,42536240,NAGLU,ENSG00000108784.10,+,33.99531936645508
20881,chr7,64563071,ZNF680,ENSG00000173041.12,-,33.99811553955078
11972,chr4,337833,ZNF141,ENSG00000131127.14,+,34.00377655029297
42590,chr17,11997475,ZNF18,ENSG00000154957.14,-,34.016563415527344
1651,chr1,150926362,SETDB1,ENSG00000143379.13,+,34.03281021118164
33580,chr12,95217467,FGD6,ENSG00000180263.14,-,34.043365478515625
41272,chr17,39461485,CDK12,ENSG00000167258.16,+,34.05303955078125
48733,chr20,32052196,HCK,ENSG00000101336.18,+,34.09709167480469
1675,chr1,151282298,ZNF687,ENSG00000143373.18,+,34.138484954833984
47164,chr19,12294883,ZNF44,ENSG00000197857.16,-,34.167022705078125
49624,chr20,45912047,PLTP,ENSG00000100979.15,-,34.180931091308594
46435,chr19,52336311,ZNF610,ENSG00000167554.15,+,34.236358642578125
34905,chr14,23306850,BCL2L2,ENSG00000129473.11,+,34.28160858154297
46025,chr19,42076165,ZNF574,ENSG00000105732.13,+,34.33266830444336
12423,chr4,70704800,RUFY3,ENSG00000018189.13,+,34.33424377441406
36738,chr15,34102082,PGBD4,ENSG00000182405.6,+,34.34627151489258
22181,chr8,66667615,C8orf44-SGK3,ENSG00000288602.1,+,34.40351104736328
13401,chr4,73988190,PPBP,ENSG00000163736.4,-,34.40993118286133
34850,chr14,20684582,RNASE4,ENSG00000258818.4,+,34.45854187011719
16590,chr6,7107960,RREB1,ENSG00000124782.21,+,34.47005844116211
16069,chr5,134371036,ENSG00000273345,ENSG00000273345.6,-,34.4715690612793
1666,chr1,151070760,GABPB2,ENSG00000143458.12,+,34.48612594604492
15585,chr5,39424980,DAB2,ENSG00000153071.15,-,34.52743148803711
21829,chr8,22165371,BMP1,ENSG00000168487.20,+,34.543479919433594
47401,chr19,18941190,HOMER3,ENSG00000051128.19,-,34.563873291015625
6963,chr2,240586733,CAPN10,ENSG00000142330.20,+,34.57221984863281
35699,chr14,99971448,EVL,ENSG00000196405.13,+,34.58038330078125
30141,chr11,61917566,RAB3IL1,ENSG00000167994.13,-,34.603919982910156
10845,chr3,49429310,ENSG00000283189,ENSG00000283189.2,-,34.60729217529297
41401,chr17,42780609,WNK4,ENSG00000126562.17,+,34.60796356201172
26142,chr10,84328662,CCSER2,ENSG00000107771.17,+,34.62116241455078
6070,chr2,130182261,MZT2B,ENSG00000152082.15,+,34.630043029785156
45988,chr19,41364055,TMEM91,ENSG00000142046.15,+,34.631309509277344
25131,chr9,98255649,TBC1D2,ENSG00000095383.20,-,34.65070724487305
42452,chr17,7239455,PHF23,ENSG00000040633.13,-,34.659549713134766
39528,chr16,81779278,PLCG2,ENSG00000197943.12,+,34.67255401611328
35918,chr14,21526227,SALL2,ENSG00000165821.12,-,34.674320220947266
38543,chr16,3004131,ENSG00000289281,ENSG00000289281.1,+,34.67670822143555
39890,chr16,8797639,TMEM186,ENSG00000184857.8,-,34.67818069458008
13621,chr4,89837015,SNCA,ENSG00000145335.17,-,34.690574645996094
20758,chr7,42912090,C7orf25,ENSG00000136197.14,-,34.6944580078125
52422,chrX,135344795,ZNF449,ENSG00000173275.13,+,34.72378921508789
1572,chr1,147928419,GPR89B,ENSG00000188092.15,+,34.73048782348633
3172,chr1,23531233,E2F2,ENSG00000007968.7,-,34.742279052734375
38828,chr16,22008110,MOSMO,ENSG00000185716.12,+,34.75807571411133
22993,chr8,47960178,PRKDC,ENSG00000253729.9,-,34.76581573486328
52416,chrX,134807280,PABIR3,ENSG00000156500.16,+,34.768253326416016
27117,chr10,73811651,ENSG00000272916,ENSG00000272916.5,-,34.79479217529297
33278,chr12,55728349,CD63,ENSG00000135404.12,-,34.79700469970703
6127,chr2,143129418,ARHGAP15,ENSG00000075884.14,+,34.802345275878906
50558,chr22,29073034,KREMEN1,ENSG00000183762.13,+,34.819679260253906
33673,chr12,107761137,PRDM4,ENSG00000110851.12,-,34.82492446899414
1536,chr1,120723948,NBPF26,ENSG00000273136.8,+,34.86273193359375
15611,chr5,43043170,ANXA2R,ENSG00000177721.5,-,34.90163040161133
12235,chr4,38867805,FAM114A1,ENSG00000197712.12,+,34.92546081542969
14662,chr5,108924605,FER,ENSG00000151422.14,+,34.94752502441406
46108,chr19,44643819,PVR,ENSG00000073008.16,+,34.963008880615234
50456,chr22,21632715,CCDC116,ENSG00000161180.11,+,34.98876190185547
4518,chr1,161132667,DEDD,ENSG00000158796.17,-,35.03050231933594
34214,chr13,60397219,TDRD3,ENSG00000083544.16,+,35.03070068359375
33144,chr12,51083596,CSRNP2,ENSG00000110925.7,-,35.065284729003906
23484,chr8,133297252,NDRG1,ENSG00000104419.17,-,35.1220588684082
30300,chr11,65614221,MAP3K11,ENSG00000173327.8,-,35.187076568603516
11360,chr3,126084124,SLC41A3,ENSG00000114544.17,-,35.1897087097168
48059,chr19,49813178,FUZ,ENSG00000010361.14,-,35.204551696777344
3536,chr1,46132616,PIK3R3,ENSG00000117461.15,-,35.204654693603516
18420,chr6,43576038,XPO5,ENSG00000124571.18,-,35.20880889892578
39063,chr16,31459500,ARMC5,ENSG00000140691.18,+,35.21247863769531
21788,chr8,18210108,NAT1,ENSG00000171428.15,+,35.21309280395508
3505,chr1,44674443,TMEM53,ENSG00000126106.14,-,35.22891616821289
35634,chr14,94110814,IFI27,ENSG00000165949.13,+,35.23996353149414
51462,chr22,50628155,ARSA,ENSG00000100299.18,-,35.26496887207031
29502,chr11,2885728,CDKN1C,ENSG00000129757.15,-,35.28150939941406
20523,chr7,4862030,PAPOLB,ENSG00000218823.2,-,35.30825424194336
6821,chr2,231198665,ARMC9,ENSG00000135931.19,+,35.318382263183594
21012,chr7,88220038,SRI,ENSG00000075142.14,-,35.32011413574219
33903,chr12,123436684,RILPL2,ENSG00000150977.11,-,35.36713409423828
9777,chr3,122795068,SLC49A4,ENSG00000138463.9,+,35.381309509277344
34099,chr13,40789467,SLC25A15,ENSG00000102743.16,+,35.38447952270508
8987,chr3,30606600,TGFBR2,ENSG00000163513.19,+,35.39997100830078
30441,chr11,71928656,XNDC1N-ZNF705EP-ALG1L9P,ENSG00000289716.1,-,35.42057800292969
51298,chr22,38794198,DNAL4,ENSG00000100246.13,-,35.421348571777344
39353,chr16,67893253,PSKH1,ENSG00000159792.10,+,35.43174362182617
51369,chr22,42649362,CYB5R3,ENSG00000100243.22,-,35.438621520996094
45036,chr19,7069704,ZNF557,ENSG00000130544.12,+,35.44843292236328
25832,chr10,38094367,PLD5P1,ENSG00000283930.1,+,35.46006774902344
17469,chr6,108559834,FOXO3,ENSG00000118689.15,+,35.494266510009766
53703,chrX,155612952,TMLHE,ENSG00000185973.12,-,35.525665283203125
22057,chr8,42153062,AP3M2,ENSG00000070718.13,+,35.564266204833984
44082,chr18,31498176,DSG2,ENSG00000046604.14,+,35.59207534790039
16071,chr5,134371041,CDKL3,ENSG00000006837.12,-,35.610145568847656
42474,chr17,7329393,NEURL4,ENSG00000215041.10,-,35.61069107055664
49462,chr20,32743523,ENSG00000285382,ENSG00000285382.1,-,35.619468688964844
26689,chr10,5404828,TUBAL3,ENSG00000178462.12,-,35.622596740722656
45637,chr19,34734242,ZNF181,ENSG00000197841.15,+,35.6264762878418
47117,chr19,11197547,KANK2,ENSG00000197256.11,-,35.631248474121094
28147,chr11,47408630,SLC39A13,ENSG00000165915.14,+,35.632606506347656
12038,chr4,2793084,SH3BP2,ENSG00000087266.17,+,35.641944885253906
41424,chr17,43006783,IFI35,ENSG00000068079.8,+,35.64922332763672
1788,chr1,155002801,ZBTB7B,ENSG00000160685.14,+,35.65333557128906
16542,chr6,292096,DUSP22,ENSG00000112679.15,+,35.65926742553711
50330,chr21,45287895,POFUT2,ENSG00000186866.17,-,35.697265625
35365,chr14,71320475,SIPA1L1,ENSG00000197555.10,+,35.717864990234375
5053,chr1,236281958,ERO1B,ENSG00000086619.15,-,35.72394561767578
2162,chr1,172533117,SUCO,ENSG00000094975.15,+,35.729148864746094
51919,chrX,52495807,XAGE1A,ENSG00000204379.11,+,35.748329162597656
21250,chr7,103149182,NAPEPLD,ENSG00000161048.12,-,35.756046295166016
20769,chr7,43906627,URGCP,ENSG00000106608.17,-,35.76238250732422
2799,chr1,247857186,TRIM58,ENSG00000162722.9,+,35.773738861083984
20911,chr7,73557671,BCL7B,ENSG00000106635.8,-,35.778038024902344
1420,chr1,109910898,CSF1,ENSG00000184371.14,+,35.811466217041016
20312,chr7,142855075,EPHB6,ENSG00000106123.12,+,35.81282424926758
2281,chr1,192158461,RGS18,ENSG00000150681.10,+,35.830596923828125
20177,chr7,129225029,AHCYL2,ENSG00000158467.17,+,35.867286682128906
37962,chr15,65792124,DENND4A,ENSG00000174485.16,-,35.91374206542969
2238,chr1,181033930,MR1,ENSG00000153029.16,+,35.93779373168945
15968,chr5,123423421,CEP120,ENSG00000168944.17,-,35.95232391357422
49463,chr20,32743467,COMMD7,ENSG00000149600.12,-,35.97590255737305
49311,chr20,2508915,ZNF343,ENSG00000088876.13,-,35.982872009277344
39089,chr16,46884361,GPT2,ENSG00000166123.14,+,35.994056701660156
32431,chr12,121210064,P2RX4,ENSG00000135124.16,+,35.99824523925781
17364,chr6,75601926,SENP6,ENSG00000112701.18,+,36.00141525268555
17973,chr6,13487662,GFOD1,ENSG00000145990.11,-,36.124839782714844
