,Chromosome,Start,gene_name,gene_id,Strand,GM12878
6004,chr2,113627265,RABL2A,ENSG00000144134.19,+,113.49626922607422
17681,chr6,139135079,HECA,ENSG00000112406.5,+,113.52978515625
45536,chr19,21397118,ZNF493,ENSG00000196268.12,+,113.57218933105469
22629,chr8,144374046,ADCK5,ENSG00000173137.12,+,113.61587524414062
44653,chr18,58629091,ALPK2,ENSG00000198796.7,-,113.63160705566406
34556,chr13,39603193,LHFPL6,ENSG00000183722.9,-,113.67132568359375
17468,chr6,108295053,AFG1L,ENSG00000135537.17,+,113.6845703125
7841,chr2,121649438,CLASP1,ENSG00000074054.21,-,113.71473693847656
6049,chr2,126656157,GYPC,ENSG00000136732.16,+,113.73777770996094
2600,chr1,224929666,DNAH14,ENSG00000185842.16,+,113.76546478271484
30641,chr11,88175443,RAB38,ENSG00000123892.12,-,113.76651000976562
47564,chr19,36114875,POLR2I,ENSG00000105258.9,-,113.81745910644531
48778,chr20,33731995,ZNF341,ENSG00000131061.15,+,113.82701110839844
39098,chr16,50025224,CNEP1R1,ENSG00000205423.12,+,113.84988403320312
37620,chr15,40108892,BMF,ENSG00000104081.14,-,113.85179901123047
14662,chr5,108924605,FER,ENSG00000151422.14,+,113.85453796386719
43130,chr17,43778977,DUSP3,ENSG00000108861.9,-,113.8944091796875
8990,chr3,32106619,GPD1L,ENSG00000152642.11,+,113.91930389404297
52128,chrX,85244031,ZNF711,ENSG00000147180.17,+,113.94400787353516
20769,chr7,43906627,URGCP,ENSG00000106608.17,-,113.95297241210938
37928,chr15,64703208,OAZ2,ENSG00000180304.14,-,113.99258422851562
43535,chr17,64662307,SMURF2,ENSG00000108854.16,-,114.14550018310547
29832,chr11,27363215,CCDC34,ENSG00000109881.17,-,114.15357971191406
45347,chr19,16661138,TMEM38A,ENSG00000072954.7,+,114.15855407714844
7470,chr2,64019428,VPS54,ENSG00000143952.20,-,114.2030029296875
21788,chr8,18210108,NAT1,ENSG00000171428.15,+,114.20669555664062
38265,chr15,91022594,VPS33B,ENSG00000184056.15,-,114.21173858642578
33104,chr12,49110850,LMBR1L,ENSG00000139636.16,-,114.36502075195312
33564,chr12,93441943,UBE2N,ENSG00000177889.10,-,114.40315246582031
6821,chr2,231198665,ARMC9,ENSG00000135931.19,+,114.43980407714844
10031,chr3,143119770,CHST2,ENSG00000175040.6,+,114.44397735595703
18297,chr6,36442854,PXT1,ENSG00000179165.12,-,114.51437377929688
38363,chr16,668131,RHOT2,ENSG00000140983.15,+,114.51686096191406
5887,chr2,102355795,IL18R1,ENSG00000115604.12,+,114.60256958007812
46447,chr19,52429186,ZNF534,ENSG00000198633.11,+,114.68485260009766
45522,chr19,21020656,ZNF430,ENSG00000118620.13,+,114.76055908203125
8723,chr3,4303368,SETMAR,ENSG00000170364.13,+,114.80195617675781
9175,chr3,43690937,ABHD5,ENSG00000011198.10,+,114.803466796875
39767,chr16,2009821,ZNF598,ENSG00000167962.15,-,114.90145874023438
19166,chr7,876553,GET4,ENSG00000239857.7,+,114.971435546875
9367,chr3,51942344,PARP3,ENSG00000041880.15,+,114.97189331054688
44400,chr18,9614559,PPP4R1,ENSG00000154845.16,-,115.02676391601562
50115,chr21,15064934,NRIP1,ENSG00000180530.11,-,115.11872863769531
19283,chr7,17298651,AHR,ENSG00000106546.14,+,115.1240463256836
47826,chr19,43596134,IRGQ,ENSG00000167378.10,-,115.17428588867188
9825,chr3,128153480,EEFSEC,ENSG00000132394.11,+,115.18028259277344
47376,chr19,18323076,LSM4,ENSG00000130520.11,-,115.18848419189453
27408,chr10,112183710,GPAM,ENSG00000119927.14,-,115.23698425292969
24696,chr9,15510970,PSIP1,ENSG00000164985.15,-,115.253662109375
42644,chr17,17206333,PLD6,ENSG00000179598.6,-,115.25634765625
6254,chr2,169694468,PHOSPHO2,ENSG00000144362.12,+,115.27960205078125
3,chr1,960583,KLHL17,ENSG00000187961.15,+,115.40940856933594
7125,chr2,20225096,SDC1,ENSG00000115884.11,-,115.43023681640625
18383,chr6,42048708,CCND3,ENSG00000112576.13,-,115.4329833984375
39750,chr16,1826834,HAGH,ENSG00000063854.13,-,115.4676513671875
15796,chr5,79991262,MTX3,ENSG00000177034.18,-,115.49241638183594
1665,chr1,151060396,MLLT11,ENSG00000213190.4,+,115.56181335449219
15800,chr5,80256048,SERINC5,ENSG00000164300.17,-,115.58673858642578
30809,chr11,111766382,PPP2R1B,ENSG00000137713.16,-,115.6129379272461
34723,chr13,95644690,DZIP1,ENSG00000134874.18,-,115.65657043457031
25418,chr9,129642151,ASB6,ENSG00000148331.12,-,115.6612548828125
41246,chr17,37489890,DUSP14,ENSG00000276023.5,+,115.70480346679688
49817,chr21,10521582,TPTE,ENSG00000274391.5,+,115.78211975097656
31907,chr12,57604823,DTX3,ENSG00000178498.16,+,115.80824279785156
26579,chr10,122980400,PSTK,ENSG00000179988.15,+,115.81103515625
52603,chrX,153724855,ABCD1,ENSG00000101986.12,+,115.82341003417969
25378,chr9,127980989,EEIG1,ENSG00000167106.12,-,115.82474517822266
11433,chr3,132722459,NPHP3-ACAD11,ENSG00000274810.4,-,115.91070556640625
47630,chr19,38426162,RASGRP4,ENSG00000171777.17,-,115.93572998046875
8715,chr3,3126953,TRNT1,ENSG00000072756.18,+,115.98609924316406
10379,chr3,196712410,PIGX,ENSG00000163964.18,+,116.03996276855469
1419,chr1,109910848,CSF1,ENSG00000184371.14,+,116.04409790039062
39011,chr16,30407628,ZNF771,ENSG00000179965.12,+,116.05917358398438
25000,chr9,83956742,C9orf64,ENSG00000165118.15,-,116.06401062011719
43681,chr17,75896951,TRIM65,ENSG00000141569.12,-,116.10768127441406
19213,chr7,5045820,RBAK,ENSG00000146587.18,+,116.11127471923828
40305,chr16,58000672,ZNF319,ENSG00000166188.3,-,116.16070556640625
2920,chr1,2412564,PEX10,ENSG00000157911.11,-,116.17235565185547
39716,chr16,788397,RPUSD1,ENSG00000007376.8,-,116.19294738769531
52,chr1,2556370,TNFRSF14,ENSG00000157873.18,+,116.20603942871094
25560,chr9,137070557,SAPCD2,ENSG00000186193.9,-,116.30189514160156
7349,chr2,46941732,MCFD2,ENSG00000180398.13,-,116.31117248535156
899,chr1,45326894,HPDL,ENSG00000186603.7,+,116.44781494140625
15415,chr5,179732821,MAML1,ENSG00000161021.13,+,116.46295166015625
47489,chr19,32675169,ANKRD27,ENSG00000105186.16,-,116.53271484375
51828,chrX,48801395,HDAC6,ENSG00000094631.22,+,116.58161163330078
2021,chr1,161663146,FCGR2B,ENSG00000072694.22,+,116.58283996582031
51762,chrX,46447293,KRBOX4,ENSG00000147121.16,+,116.69355773925781
5516,chr2,53971107,ACYP2,ENSG00000170634.13,+,116.71878814697266
47176,chr19,12551474,ENSG00000196826,ENSG00000196826.7,-,116.86123657226562
49440,chr20,25696853,ZNF337,ENSG00000130684.14,-,116.89543151855469
39457,chr16,72008743,DHODH,ENSG00000102967.12,+,116.9326171875
25749,chr10,25016611,THNSL1,ENSG00000185875.13,+,116.96194458007812
24497,chr9,134025494,BRD3OS,ENSG00000235106.10,+,116.98617553710938
34811,chr13,114132623,RASA3,ENSG00000185989.11,-,116.99861145019531
13316,chr4,48906828,OCIAD2,ENSG00000145247.12,-,117.10922241210938
51328,chr22,41544462,POLR3H,ENSG00000100413.17,-,117.15092468261719
22555,chr8,143267436,GLI4,ENSG00000250571.7,+,117.19227600097656
30754,chr11,105035143,CASP1,ENSG00000137752.25,-,117.29736328125
35363,chr14,70907458,PCNX1,ENSG00000100731.16,+,117.33488464355469
24017,chr9,93096216,CARD19,ENSG00000165233.18,+,117.34298706054688
46715,chr19,57849858,ZNF587,ENSG00000198466.12,+,117.3581314086914
23444,chr8,124728473,MTSS1,ENSG00000170873.19,-,117.46736907958984
31844,chr12,56118265,ZC3H10,ENSG00000135482.7,+,117.48755645751953
37419,chr15,90184962,SEMA4B,ENSG00000185033.15,+,117.4886245727539
15089,chr5,149730297,PPARGC1B,ENSG00000155846.17,+,117.5518798828125
53688,chrX,154805485,MPP1,ENSG00000130830.15,-,117.58758544921875
21748,chr8,11769709,NEIL2,ENSG00000154328.16,+,117.59654235839844
38104,chr15,76905340,SCAPER,ENSG00000140386.13,-,117.65512084960938
9200,chr3,44861911,TMEM42,ENSG00000169964.8,+,117.66146850585938
27051,chr10,70132934,AIFM2,ENSG00000042286.15,-,117.70130157470703
19600,chr7,66205384,TPST1,ENSG00000169902.15,+,117.71842956542969
19768,chr7,90154468,STEAP1,ENSG00000164647.9,+,117.83270263671875
46098,chr19,44212531,ZNF227,ENSG00000131115.16,+,117.83641815185547
38343,chr16,527711,CAPN15,ENSG00000103326.12,+,117.90206146240234
28155,chr11,47565598,PTPMT1,ENSG00000110536.14,+,117.91722106933594
32549,chr12,132490150,FBRSL1,ENSG00000112787.14,+,117.92354583740234
35622,chr14,94026377,OTUB2,ENSG00000089723.10,+,117.94775390625
36790,chr15,40569331,RPUSD2,ENSG00000166133.18,+,117.9620361328125
25983,chr10,69318860,HK1,ENSG00000156515.25,+,117.98491668701172
32366,chr12,113056729,DTX1,ENSG00000135144.8,+,118.06958770751953
23526,chr8,142669970,JRK,ENSG00000234616.9,-,118.12979125976562
32092,chr12,88142306,TMTC3,ENSG00000139324.12,+,118.15223693847656
4394,chr1,156295679,GLMP,ENSG00000198715.13,-,118.23259735107422
46731,chr19,58228938,ZNF544,ENSG00000198131.15,+,118.28641510009766
27053,chr10,70146656,TYSND1,ENSG00000156521.14,-,118.30622863769531
7101,chr2,11344636,ROCK2,ENSG00000134318.16,-,118.31884765625
45999,chr19,41576165,CEACAM21,ENSG00000007129.18,+,118.38052368164062
38072,chr15,74906837,FAM219B,ENSG00000178761.15,-,118.38297271728516
47592,chr19,37467229,ZNF569,ENSG00000196437.12,-,118.49726867675781
50497,chr22,23857874,SLC2A11,ENSG00000133460.20,+,118.52339172363281
12799,chr4,141636601,IL15,ENSG00000164136.17,+,118.53543090820312
37743,chr15,48645709,FBN1,ENSG00000166147.15,-,118.548583984375
1545,chr1,145607987,GPR89A,ENSG00000117262.19,+,118.59797668457031
38638,chr16,4693717,NUDT16L1,ENSG00000168101.15,+,118.60101318359375
41396,chr17,42682530,CNTNAP1,ENSG00000108797.12,+,118.69847106933594
36836,chr15,41828101,JMJD7,ENSG00000243789.11,+,118.7061767578125
47299,chr19,15332545,BRD4,ENSG00000141867.19,-,118.70883178710938
33892,chr12,122975205,ABCB9,ENSG00000150967.19,-,118.75898742675781
47573,chr19,36528268,ZNF260,ENSG00000254004.7,-,118.76567077636719
27791,chr11,6390474,SMPD1,ENSG00000166311.10,+,118.82563781738281
48277,chr19,54189568,MBOAT7,ENSG00000125505.17,-,118.83856964111328
19981,chr7,102286867,SH2B2,ENSG00000160999.11,+,118.88056182861328
6035,chr2,120013076,EPB41L5,ENSG00000115109.14,+,118.96035766601562
17613,chr6,130018588,L3MBTL3,ENSG00000198945.8,+,118.986083984375
11254,chr3,119240878,B4GALT4,ENSG00000121578.13,-,119.0257797241211
3522,chr1,45491155,ENSG00000288208,ENSG00000288208.1,-,119.03070068359375
50893,chr22,46268039,TTC38,ENSG00000075234.17,+,119.298828125
4284,chr1,153946718,DENND4B,ENSG00000198837.10,-,119.33889770507812
20627,chr7,22357144,RAPGEF5,ENSG00000136237.20,-,119.35496520996094
12491,chr4,77157209,CCNG2,ENSG00000138764.15,+,119.38818359375
23874,chr9,68780064,PABIR1,ENSG00000187866.10,+,119.3907699584961
50797,chr22,40177941,TNRC6B,ENSG00000100354.21,+,119.62808227539062
1229,chr1,86914647,HS2ST1,ENSG00000153936.18,+,119.63653564453125
4064,chr1,121184314,FAM72B,ENSG00000188610.12,-,119.66975402832031
19833,chr7,98106861,LMTK2,ENSG00000164715.6,+,119.67501831054688
8632,chr2,239400949,HDAC4,ENSG00000068024.18,-,119.73371887207031
51107,chr22,28800597,XBP1,ENSG00000100219.17,-,119.77912902832031
25695,chr10,15097330,RPP38,ENSG00000152464.15,+,119.89968872070312
20986,chr7,82443777,CACNA2D1,ENSG00000153956.17,-,119.92057800292969
14663,chr5,109689926,MAN2A1,ENSG00000112893.10,+,120.04081726074219
12253,chr4,40056849,N4BP2,ENSG00000078177.15,+,120.05123901367188
34625,chr13,49444053,CAB39L,ENSG00000102547.19,-,120.06256103515625
22425,chr8,109539725,ENSG00000289767,ENSG00000289767.1,+,120.18807983398438
4039,chr1,116667733,IGSF3,ENSG00000143061.18,-,120.25167846679688
24882,chr9,35618389,CD72,ENSG00000137101.14,-,120.29080963134766
39162,chr16,56625780,MT1E,ENSG00000169715.15,+,120.29090881347656
41903,chr17,74213570,TTYH2,ENSG00000141540.11,+,120.29177856445312
45757,chr19,35902528,HCST,ENSG00000126264.10,+,120.30720520019531
36797,chr15,40764067,GCHFR,ENSG00000137880.6,+,120.34455871582031
34950,chr14,24115325,DCAF11,ENSG00000100897.18,+,120.35707092285156
40950,chr17,15699740,ZNF286A-TBC1D26,ENSG00000255104.9,+,120.43783569335938
719,chr1,37807789,C1orf122,ENSG00000197982.14,+,120.47413635253906
53187,chrX,72239027,ERCC6L,ENSG00000186871.7,-,120.47674560546875
23622,chr8,144853048,COMMD5,ENSG00000170619.10,-,120.48651123046875
2394,chr1,203626831,ATP2B4,ENSG00000058668.16,+,120.5211410522461
4069,chr1,143971986,FAM72C,ENSG00000263513.6,-,120.61553955078125
38596,chr16,3401214,ZNF174,ENSG00000103343.13,+,120.63137817382812
32196,chr12,102957673,ASCL1,ENSG00000139352.4,+,120.67060089111328
45594,chr19,32972220,FAAP24,ENSG00000131944.11,+,120.67460632324219
41261,chr17,38705541,MLLT6,ENSG00000275023.5,+,120.71153259277344
12950,chr4,159103078,RAPGEF2,ENSG00000109756.10,+,120.83808898925781
47345,chr19,17303425,ABHD8,ENSG00000127220.6,-,120.86490631103516
46899,chr19,4066899,ZBTB7A,ENSG00000178951.9,-,120.88063049316406
23076,chr8,65842064,PDE7A,ENSG00000205268.11,-,120.90777587890625
37859,chr15,56733509,ZNF280D,ENSG00000137871.21,-,120.92169189453125
21889,chr8,26291507,PPP2R2A,ENSG00000221914.11,+,120.94635772705078
50257,chr21,39313642,BRWD1,ENSG00000185658.14,-,120.96368408203125
110,chr1,6579993,ZBTB48,ENSG00000204859.13,+,120.99591827392578
15527,chr5,34008050,AMACR,ENSG00000242110.9,-,121.1229248046875
8310,chr2,201451500,TRAK2,ENSG00000115993.13,-,121.12371063232422
25819,chr10,35336508,CCNY,ENSG00000108100.18,+,121.1534423828125
47239,chr19,14006320,RFX1,ENSG00000132005.9,-,121.17225646972656
32598,chr12,949649,RAD52,ENSG00000002016.18,-,121.1845474243164
52004,chrX,70133448,IGBP1,ENSG00000089289.16,+,121.19487762451172
19754,chr7,87345692,CROT,ENSG00000005469.12,+,121.21270751953125
16522,chr5,180861276,ZFP62,ENSG00000196670.14,-,121.23928833007812
51464,chr22,50628159,ARSA,ENSG00000100299.18,-,121.27762603759766
46450,chr19,52527667,ZNF808,ENSG00000198482.14,+,121.28359985351562
45128,chr19,9324173,ZNF559-ZNF177,ENSG00000270011.9,+,121.39217376708984
49658,chr20,48827999,PREX1,ENSG00000124126.14,-,121.4330825805664
8361,chr2,206086174,INO80D,ENSG00000114933.16,-,121.48631286621094
33260,chr12,54984762,TESPA1,ENSG00000135426.16,-,121.57843017578125
4726,chr1,197775480,DENND1B,ENSG00000213047.13,-,121.58918762207031
13257,chr4,39527439,UGDH,ENSG00000109814.12,-,121.63980102539062
3736,chr1,74198147,LRRIQ3,ENSG00000162620.16,-,121.6875991821289
9351,chr3,51385290,MANF,ENSG00000145050.19,+,121.76002502441406
45689,chr19,35249001,LSR,ENSG00000105699.17,+,121.77680206298828
27500,chr10,122954227,C10orf88,ENSG00000119965.13,-,121.8124771118164
2262,chr1,183636084,RGL1,ENSG00000143344.16,+,121.95793151855469
26268,chr10,93893972,SLC35G1,ENSG00000176273.15,+,122.00830078125
8113,chr2,174487037,GPR155,ENSG00000163328.14,-,122.01200103759766
18481,chr6,52577060,TRAM2,ENSG00000065308.5,-,122.03518676757812
33877,chr12,122422588,CLIP1,ENSG00000130779.22,-,122.03690338134766
14351,chr5,64165842,RNF180,ENSG00000164197.12,+,122.10017395019531
39316,chr16,67528828,RIPOR1,ENSG00000039523.20,+,122.13558959960938
21636,chr7,155644396,ENSG00000283128,ENSG00000283128.3,-,122.18350219726562
37808,chr15,52379513,MYO5A,ENSG00000197535.16,-,122.19525909423828
47580,chr19,36772814,ZNF850,ENSG00000267041.6,-,122.24330139160156
4474,chr1,160031990,PIGM,ENSG00000143315.8,-,122.2667465209961
3921,chr1,109041986,WDR47,ENSG00000085433.17,-,122.29800415039062
48205,chr19,52690496,ENSG00000269825,ENSG00000269825.3,-,122.31521606445312
5747,chr2,85354756,ELMOD3,ENSG00000115459.18,+,122.34849548339844
4262,chr1,153535991,S100A6,ENSG00000197956.10,-,122.37997436523438
38514,chr16,2538002,PDPK1,ENSG00000140992.19,+,122.45475769042969
26436,chr10,110225992,MXI1,ENSG00000119950.21,+,122.55494689941406
23688,chr9,4985271,JAK2,ENSG00000096968.14,+,122.57916259765625
25675,chr10,12349546,CAMK1D,ENSG00000183049.14,+,122.58677673339844
35960,chr14,23071561,ACIN1,ENSG00000100813.15,-,122.60459899902344
52690,chrX,386907,PPP2R3B,ENSG00000167393.18,-,122.6871566772461
40782,chr17,6444454,PIMREG,ENSG00000129195.16,+,122.71466827392578
9374,chr3,51975059,ABHD14A-ACY1,ENSG00000114786.16,+,122.77406311035156
48401,chr19,57578911,ZNF416,ENSG00000083817.9,-,122.83889770507812
27033,chr10,67838096,DNAJC12,ENSG00000108176.15,-,122.84255981445312
17395,chr6,85450082,NT5E,ENSG00000135318.12,+,122.92131042480469
44219,chr18,50968018,ENSG00000267699,ENSG00000267699.2,+,122.98933410644531
46661,chr19,57363550,ZNF547,ENSG00000152433.15,+,122.99149322509766
42507,chr17,8152404,PER1,ENSG00000179094.16,-,123.01371765136719
28434,chr11,63536815,PLAAT4,ENSG00000133321.11,+,123.12042999267578
15151,chr5,154445996,SAP30L,ENSG00000164576.12,+,123.13046264648438
19212,chr7,5045910,RBAK-RBAKDN,ENSG00000272968.5,+,123.14057922363281
46980,chr19,6502337,TUBB4A,ENSG00000104833.12,-,123.14776611328125
4608,chr1,169586481,F5,ENSG00000198734.12,-,123.18936157226562
43122,chr17,43546323,ETV4,ENSG00000175832.13,-,123.21507263183594
35180,chr14,52552835,GPR137C,ENSG00000180998.12,+,123.21519470214844
51314,chr22,40463418,MRTFA,ENSG00000196588.21,-,123.28564453125
45954,chr19,40717111,ITPKC,ENSG00000086544.4,+,123.38278198242188
32128,chr12,96194374,ELK3,ENSG00000111145.8,+,123.45466613769531
40952,chr17,15699718,ZNF286A,ENSG00000187607.16,+,123.46139526367188
10751,chr3,48088824,MAP4,ENSG00000047849.22,-,123.49058532714844
41563,chr17,47831669,LRRC46,ENSG00000141294.10,+,123.50431823730469
28282,chr11,59172131,DTX4,ENSG00000110042.8,+,123.50630950927734
48413,chr19,57888969,ZNF814,ENSG00000204514.11,-,123.53703308105469
34837,chr14,20343636,PARP2,ENSG00000129484.14,+,123.56118774414062
49230,chr20,64063157,TCEA2,ENSG00000171703.17,+,123.5765380859375
49057,chr20,56392644,CSTF1,ENSG00000101138.12,+,123.5784912109375
18914,chr6,134174866,SGK1,ENSG00000118515.12,-,123.61354064941406
14143,chr5,5422676,ICE1,ENSG00000164151.12,+,123.70108032226562
43845,chr17,81918176,SIRT7,ENSG00000187531.14,-,123.70179748535156
1986,chr1,161159499,USP21,ENSG00000143258.17,+,123.794189453125
8971,chr3,25790093,OXSM,ENSG00000151093.8,+,123.82205963134766
13735,chr4,109730070,PLA2G12A,ENSG00000123739.11,-,123.85845947265625
7258,chr2,37671642,CDC42EP3,ENSG00000163171.8,-,123.9051742553711
16660,chr6,17600362,FAM8A1,ENSG00000137414.7,+,123.97908020019531
32159,chr12,100267176,SCYL2,ENSG00000136021.19,+,124.00456237792969
21798,chr8,19817415,INTS10,ENSG00000104613.12,+,124.02497863769531
40170,chr16,30610389,ZNF689,ENSG00000156853.13,-,124.03128051757812
23073,chr8,64798737,CYP7B1,ENSG00000172817.4,-,124.08040618896484
35234,chr14,58427692,KIAA0586,ENSG00000100578.18,+,124.08487701416016
28756,chr11,71998924,IL18BP,ENSG00000137496.19,+,124.14537048339844
10684,chr3,43621965,ANO10,ENSG00000160746.13,-,124.16685485839844
51442,chr22,50525598,SCO2,ENSG00000284194.3,-,124.17521667480469
15709,chr5,67196799,CD180,ENSG00000134061.5,-,124.2125015258789
9391,chr3,52410659,PHF7,ENSG00000010318.22,+,124.39620971679688
14558,chr5,80408012,ZFYVE16,ENSG00000039319.17,+,124.42547607421875
30927,chr11,118925926,BCL9L,ENSG00000186174.13,-,124.42729949951172
3255,chr1,27626240,FGR,ENSG00000000938.13,-,124.4521484375
44288,chr18,62523024,ZCCHC2,ENSG00000141664.10,+,124.51617431640625
51018,chr22,20320060,DGCR6L,ENSG00000128185.10,-,124.56367492675781
21540,chr7,143902126,TCAF1,ENSG00000198420.10,-,124.56976318359375
42449,chr17,7234517,DVL2,ENSG00000004975.12,-,124.59469604492188
39620,chr16,89217702,ZNF778,ENSG00000170100.14,+,124.59662628173828
9778,chr3,123067024,PDIA5,ENSG00000065485.20,+,124.6694107055664
11750,chr3,179451470,GNB4,ENSG00000114450.11,-,124.67129516601562
29158,chr11,117178742,SIDT2,ENSG00000149577.17,+,124.68235778808594
38033,chr15,72686182,HIGD2B,ENSG00000175202.6,-,124.6837158203125
2540,chr1,212950540,VASH2,ENSG00000143494.16,+,124.74269104003906
44745,chr18,79951653,SLC66A2,ENSG00000122490.19,-,124.76557922363281
8271,chr2,197310780,ANKRD44,ENSG00000065413.20,-,124.76898193359375
756,chr1,40508760,EXO5,ENSG00000164002.12,+,124.77203369140625
8873,chr3,12484420,TSEN2,ENSG00000154743.19,+,124.9032974243164
5375,chr2,30231536,LBH,ENSG00000213626.13,+,124.9065170288086
46061,chr19,43827377,ZNF283,ENSG00000167637.18,+,124.91609191894531
9541,chr3,93980189,ARL13B,ENSG00000169379.17,+,124.93280792236328
13182,chr4,13484340,RAB28,ENSG00000157869.16,-,125.03740692138672
7775,chr2,105329735,TGFBRAP1,ENSG00000135966.14,-,125.04780578613281
17973,chr6,13487662,GFOD1,ENSG00000145990.11,-,125.09174346923828
30969,chr11,123741660,ZNF202,ENSG00000166261.11,-,125.1072998046875
24012,chr9,92964324,FGD3,ENSG00000127084.19,+,125.15689086914062
38538,chr16,2969340,PAQR4,ENSG00000162073.14,+,125.16085815429688
34561,chr13,41132802,KBTBD6,ENSG00000165572.8,-,125.1728286743164
13263,chr4,40629864,RBM47,ENSG00000163694.15,-,125.17552947998047
21737,chr8,11284815,MTMR9,ENSG00000104643.10,+,125.17662048339844
18779,chr6,110179670,WASF1,ENSG00000112290.13,-,125.20001220703125
26813,chr10,27100485,ANKRD26,ENSG00000107890.17,-,125.23175048828125
22016,chr8,38996868,ADAM9,ENSG00000168615.13,+,125.29525756835938
39832,chr16,3401065,ZSCAN32,ENSG00000140987.21,-,125.3025131225586
47444,chr19,20565781,ZNF737,ENSG00000237440.9,-,125.32600402832031
23350,chr8,104589258,LRP12,ENSG00000147650.12,-,125.3646240234375
32423,chr12,120710457,UNC119B,ENSG00000175970.11,+,125.37348937988281
1365,chr1,108876978,GPSM2,ENSG00000121957.15,+,125.38159942626953
53004,chrX,49043357,TFE3,ENSG00000068323.17,-,125.40457916259766
10784,chr3,48635461,SLC26A6,ENSG00000225697.13,-,125.43177795410156
42442,chr17,7217609,DLG4,ENSG00000132535.22,-,125.5181884765625
3927,chr1,109283115,PSRC1,ENSG00000134222.16,-,125.58963012695312
7308,chr2,42792583,HAAO,ENSG00000162882.15,-,125.64268493652344
9281,chr3,48990240,P4HTM,ENSG00000178467.18,+,125.67576599121094
27117,chr10,73811651,ENSG00000272916,ENSG00000272916.5,-,125.73934936523438
25668,chr10,12129640,SEC61A2,ENSG00000065665.21,+,125.78055572509766
35984,chr14,23567791,AP1G2,ENSG00000213983.12,-,125.80978393554688
25796,chr10,35127065,CREM,ENSG00000095794.21,+,125.92575073242188
5585,chr2,64524411,AFTPH,ENSG00000119844.17,+,125.93717956542969
9297,chr3,49412422,TCTA,ENSG00000145022.5,+,125.96245574951172
2366,chr1,202010586,ELF3,ENSG00000163435.16,+,125.97903442382812
35819,chr14,104985787,CLBA1,ENSG00000140104.14,+,126.05783081054688
45579,chr19,32405542,DPY19L3,ENSG00000178904.19,+,126.12091827392578
26371,chr10,101354106,BTRC,ENSG00000166167.18,+,126.13351440429688
48211,chr19,52735044,ZNF611,ENSG00000213020.10,-,126.14929962158203
47439,chr19,20039465,ZNF682,ENSG00000197124.12,-,126.20943450927734
50727,chr22,37807933,GCAT,ENSG00000100116.17,+,126.22734069824219
47935,chr19,46746450,STRN4,ENSG00000090372.15,-,126.31964874267578
47567,chr19,36215081,ZNF565,ENSG00000196357.12,-,126.36614990234375
24045,chr9,96450168,HABP4,ENSG00000130956.14,+,126.5234375
44218,chr18,50968047,ELAC1,ENSG00000141642.9,+,126.59235382080078
875,chr1,43979209,B4GALT2,ENSG00000117411.18,+,126.64894104003906
25117,chr9,96778087,ZNF510,ENSG00000081386.13,-,126.6562271118164
48780,chr20,33993645,RALY,ENSG00000125970.12,+,126.68437957763672
1063,chr1,63523524,EFCAB7,ENSG00000203965.13,+,126.72198486328125
35090,chr14,35826337,BRMS1L,ENSG00000100916.14,+,126.72870635986328
41867,chr17,68291494,ARSG,ENSG00000141337.13,+,126.76200866699219
38470,chr16,2048023,TSC2,ENSG00000103197.19,+,126.8454360961914
18492,chr6,53061802,CILK1,ENSG00000112144.16,-,126.85481262207031
49048,chr20,50958817,MOCS3,ENSG00000124217.5,+,126.87567901611328
16313,chr5,151686915,SPARC,ENSG00000113140.11,-,126.91351318359375
24257,chr9,125747344,PBX3,ENSG00000167081.18,+,126.9434814453125
30993,chr11,124762290,ESAM,ENSG00000149564.12,-,126.99703979492188
31729,chr12,53452128,PCBP2,ENSG00000197111.16,+,127.07907104492188
21873,chr8,24294068,ADAM28,ENSG00000042980.14,+,127.08616638183594
42821,chr17,35119741,RAD51D,ENSG00000185379.21,-,127.1259994506836
47765,chr19,42255132,ENSG00000268643,ENSG00000268643.2,-,127.13491821289062
52017,chrX,71095850,FOXO4,ENSG00000184481.17,+,127.1514892578125
38883,chr16,27550143,KATNIP,ENSG00000047578.14,+,127.16874694824219
30219,chr11,63614433,PLAAT3,ENSG00000176485.14,-,127.22080993652344
51923,chrX,52751268,SSX2B,ENSG00000268447.6,+,127.2311782836914
26297,chr10,96130055,ZNF518A,ENSG00000177853.15,+,127.23776245117188
45629,chr19,34677646,ZNF302,ENSG00000089335.22,+,127.25493621826172
33759,chr12,112013125,TMEM116,ENSG00000198270.13,-,127.33161926269531
8540,chr2,224947065,DOCK10,ENSG00000135905.21,-,127.33524322509766
42919,chr17,39401656,FBXL20,ENSG00000108306.13,-,127.33857727050781
48444,chr19,58499275,SLC27A5,ENSG00000083807.10,-,127.35653686523438
14864,chr5,138352684,KDM3B,ENSG00000120733.15,+,127.35964965820312
22537,chr8,142727222,THEM6,ENSG00000130193.8,+,127.390869140625
26004,chr10,70815927,SGPL1,ENSG00000166224.18,+,127.40275573730469
17372,chr6,78867550,IRAK1BP1,ENSG00000146243.14,+,127.40342712402344
9808,chr3,126704240,CHCHD6,ENSG00000159685.11,+,127.40900421142578
47472,chr19,23395446,ZNF91,ENSG00000167232.14,-,127.42665100097656
45289,chr19,13952508,DCAF15,ENSG00000132017.11,+,127.49668884277344
20402,chr7,150379329,ZNF775,ENSG00000196456.13,+,127.50387573242188
